x1,x2,Name,Date,Likes,Comment,view
,1-1,afp.confia,14/01/21 20:28:24,0,"@queenoemylopez Solicita tu estado de cuenta por Whatsapp (+503 2267-7777) http://wa.me/50322677777 o Facebook Messenger http://m.me/AFPCONFIA, y lo recibirás automáticamente en tu correo electrónico registrado. Tessa, nuestra asistente virtual, te guiará en el proceso.",view comment
,1-2,queenoemylopez,14/01/21 20:34:27,0,@afp.confia me urje,view comment
2,,queenoemylopez,14/01/21 20:33:35,0,Ya lo nada,view comment
3,,queenoemylopez,14/01/21 20:34:03,0,Ya lo hice y nada,view comment
,3-1,afp.confia,14/01/21 20:49:23,0,"@queenoemylopez Para brindarte una asesoría más integral sobre tu caso, puedes llamar al 2267-7777, opción 0, o también escribir por Whatsapp al mismo número (wa.me/50322677777) Para ser atendido por un Asesor, debes enviar la palabra “Ayuda” en dicha plataforma. Si lo prefieres, puedes escribirnos un mensaje en Facebook Messenger y solicitar el mismo tipo de atención.",view comment
4,,crunchsanta,15/01/21 02:46:34,0,"Nunca contestan, siempre dice que están llenos los operadores, a todo esto mi madre sin recibir su pension",view comment
,4-1,afp.confia,15/01/21 15:12:22,1,"@crunchsanta Buen día. Te compartimos los pasos para hacer tu control de sobrevivencia desde tu celular, sin salir de casa: 1. Guarda en tu teléfono el 2267-7777 como AFP Confía 2. Búscanos en tus contactos de Whatsapp, escríbenos y elige la opción (3), “Control de sobrevivencia” 3. Tessa, nuestra asistente virtual, te guiará en el proceso También puedes hacerlo escribiendo un mensaje a nuestro Facebook Messenger. ¡Evita aglomeraciones! Por tu salud, quédate en casa.",view comment
,4-2,eloisafuentesdecanales,19/01/21 16:10:26,0,@crunchsanta y porque no lo hace por wassap? Yo ahí lo hice y no me tomó más que 10 minutos y sigo recibiendo mi pension,view comment
5,,delmyhernandez_,15/01/21 06:11:33,1,Se le va todo el saldo al celular y nunca contestan,view comment
,5-1,lauramarinalemus,15/01/21 10:56:36,0,"@delmyhernandez_, exacto. Son ladrones en todos los sentidos.",view comment
,5-2,eloisafuentesdecanales,19/01/21 16:11:39,0,"@delmyhernandez_ háganlo por wassap, ahí rápido contestan",view comment
6,,oscarperez9383,15/01/21 11:20:00,0,Desde hace días eh solicitado mi estado y nunca me lo envían,view comment
,6-1,afp.confia,15/01/21 15:11:01,0,"@oscarperez9383 Buen día. Para brindarte una asesoría más integral sobre tu caso, puedes llamar al 2267-7777, opción 0, o también escribir por Whatsapp al mismo número. Para ser atendido por un Asesor, debes enviar la palabra “Ayuda” en dicha plataforma. Si lo prefieres, puedes escribirnos un mensaje en Facebook Messenger y solicitar el mismo tipo de atención.",view comment
,6-2,oscarperez9383,15/01/21 15:47:45,0,@afp.confia mi correo electrónico es oscarfidelperezhernandez80@gmail.com,view comment
,6-3,afp.confia,15/01/21 15:53:51,2,"@oscarperez9383 Buen día. Solicita tu estado de cuenta escribiéndonos a Whatsapp (+503 2267-7777) o mandando un mensaje a nuestro Facebook Messenger, y lo recibirás automáticamente en tu correo electrónico. Tessa, nuestra asistente virtual, te guiará en el proceso.Si aún no has registrado tu correo electrónico, por motivos de seguridad debes hacerlo llamando al 2267-7777, opción 0.",view comment
7,,carmenlopezmel,15/01/21 13:32:55,0,Buenos días hay que tener paciencia para que contesten uno espera 20 minutos hasta entonces toman la llamada es más lo que uno espera que le contesten a que le llenen los datos b para la sobrevivencia pero como repito con paciencia? Que Dios los bendiga grandemente.,view comment
,7-1,eloisafuentesdecanales,19/01/21 16:12:09,0,@carmenlopezmel pero es más rápido por wassap,view comment
8,,sandry1414,15/01/21 14:00:16,1,Mal servicio ya tengo mas de 8 días de haber solicitado una constancia de NO Pensionada para poder renovar mi carnet para pasar consulta es un documento indispensable. Ya 2 semanas de estar esperándolo me urge poder pasar consulta. Mal servicio ☹️☹️,view comment
,8-1,afp.confia,15/01/21 15:10:51,2,"@sandry1414 Buen día. Para brindarte una asesoría más integral sobre tu caso, puedes llamar al 2267-7777, opción 0, o también escribir por Whatsapp al mismo número. Para ser atendido por un Asesor, debes enviar la palabra “Ayuda” en dicha plataforma. Si lo prefieres, puedes escribirnos un mensaje en Facebook Messenger y solicitar el mismo tipo de atención.",view comment
9,,cidabayona,20/01/21 02:48:18,0,Se les escribe se llama se dejan mensajes y NUNCA DAN RESPUESTA,view comment
10,,hernandez_jovel_,20/01/21 12:32:49,0,Excelente!!,view comment
11,,roberto.ledezma.90260,21/01/21 01:10:42,0,Pura paja no contestan los teléfonos,view comment
12,,roberto.ledezma.90260,21/01/21 01:11:37,0,Lo pasan con alguien y de ahí sale una grabadora de vos estan ocupados los asesores,view comment
13,,juli.ocolorado,21/01/21 03:40:05,0,Cada cuanto hay que confirmar supervivencia?,view comment
,13-1,afp.confia,21/01/21 14:48:00,0,"@juli.ocolorado Buen día. Para brindarte una asesoría más integral sobre tu caso, puedes llamar al 2267-7777, opción 0, o también escribir por Whatsapp al mismo número (+503 2267-7777) Para ser atendido por un Asesor, debes enviar la palabra “Ayuda” en dicha plataforma. Si lo prefieres, puedes escribirnos un mensaje en Facebook Messenger y solicitar el mismo tipo de atención.",view comment
14,,efjo84,21/01/21 05:12:31,0,No hay respuesta.,view comment
15,,aura.garcia.54922169,21/01/21 16:08:17,1,Gracias fue super genial,view comment
,15-1,afp.confia,21/01/21 16:08:48,0,@aura.garcia.54922169 para servirte🙌🏻,view comment
16,,choco_celulares,22/01/21 02:05:29,0,Necesito el estado de cuenta,view comment
,16-1,afp.confia,22/01/21 15:29:05,0,"@choco_celulares Buen día.  Solicita tu estado de cuenta escribiéndonos a Whatsapp (+503 2267-7777) o mandando un mensaje a nuestro Facebook Messenger, y lo recibirás automáticamente en tu correo electrónico. Tessa, nuestra asistente virtual, te guiará en el proceso. Si aún no has registrado tu correo electrónico, por motivos de seguridad debes hacerlo llamando al 2267-7777, opción 0.",view comment
17,,cecy7571,22/01/21 16:12:52,0,Buenas cuando van a pagar enero 2021,view comment
,17-1,afp.confia,22/01/21 16:15:49,0,@cecy7571 Buen día. Te comentamos que las pensiones de enero ya han sido abonadas.,view comment
18,,eufemialemus,22/01/21 21:36:22,0,Buenas tardes sres de  AFPconfia ya les envie msj x whatsapp y no me da respuestas  loq me dicen esq no me encuentran y yo me afilie el 18-02-2008 y tengo planillas de la empresa donde laboro y lo q quiero es retirar un 25% xq en estos momentos no es,view comment
,18-1,afp.confia,22/01/21 21:42:12,0,"@eufemialemus Buen día. Para brindarte una asesoría más integral sobre tu caso, puedes llamar al 2267-7777, opción 0, o también escribir por Whatsapp al mismo número.Para ser atendido por un Asesor, debes enviar la palabra “Ayuda” en dicha plataforma. Si lo prefieres, puedes escribirnos un mensaje en Facebook Messenger y solicitar el mismo tipo de atención.",view comment
19,,waltercartagenabenites,22/01/21 23:25:44,0,De cuantos años la mujer puede retirar su adelanto del 25 por ciento,view comment
,19-1,afp.confia,22/01/21 23:48:36,0,"@waltercartagenabenites Hola. Con respecto al trámite de anticipo de saldo, si cumples con todos los requisitos que exige este año la Ley SAP de El Salvador (no debes estar pensionado/a, tener registradas al menos 10 años de cotizaciones continuas o discontinuas, y tener la edad requerida en 2021: mujeres, 45 años o más y hombres, 50 años o más), puedes iniciar hoy mismo tu trámite en línea sin necesidad de visitar una agencia, ingresando al siguiente enlace: https://www.mianticipoconfia.com",view comment
1,,patty_valdi,16/01/21 17:58:13,2,👍👍👍💯💯💯,view comment
1,,mirnaruthrivasaguirre,20/01/21 19:21:10,0,"A mi me toca en febrero, en agosto por la pandemia solo hable por teléfono puedo hacer lo mismo? Gracias",view comment
,1-1,afp.confia,20/01/21 19:23:39,1,@mirnaruthrivasaguirre Claro que sí.Pero también puedes hacerlo vía Whatsapp o Facebook Messenger.,view comment
,1-2,mirnaruthrivasaguirre,20/01/21 22:20:32,1,@afp.confia muchas gracias!,view comment
2,,noralinalara0812,22/01/21 12:46:39,0,Buenos días...el chequeo por supervivencia se puede hacer antes de la fecha o exactamente el mes q corresponde...??? Gracias,view comment
,2-1,afp.confia,22/01/21 15:28:09,1,@noralinalara0812 Buen día. Debes hacerlo en el mes que te corresponde.,view comment
3,,noralinalara0812,22/01/21 16:54:57,0,Gracias...,view comment
1,,evelyn_bertrand,29/01/21 02:01:19,0,¿De que se trata esto? Gracias,view comment
,1-1,afp.confia,29/01/21 14:56:11,0,@evelyn_bertrand Gracias por escribirnos. Te invitamos a conocer nuestra plataforma #ConfíaEnCosasBuenas ingresando a confiaencosasbuenas.com (link en bio) para conocer muchos consejos y recomendaciones que tenemos para ti.,view comment
,1-2,evelyn_bertrand,30/01/21 01:36:00,0,"@afp.confia gracias, muy gentil al responder.",view comment
2,,erikitamaravilla,29/01/21 03:57:48,0,???,view comment
,2-1,afp.confia,29/01/21 14:56:23,0,@erikitamaravilla Gracias por escribirnos. Te invitamos a conocer nuestra plataforma #ConfíaEnCosasBuenas ingresando a confiaencosasbuenas.com (link en bio) para conocer muchos consejos y recomendaciones que tenemos para ti.,view comment
,2-2,erikitamaravilla,29/01/21 16:22:12,0,@afp.confia Gracias,view comment
3,,cecy7571,29/01/21 21:15:13,0,Buenas que alguien me diga que debo aser para tener el aumento ala pensión mínima yo estoy pensionado por invalidez y mí número de dui 03690620-0 Alex Mauricio Alvarado Martínez favor ayudarme gracias,view comment
,3-1,afp.confia,29/01/21 21:24:10,1,"@cecy7571 Buen día. Te comentamos que las pensiones de enero y los complementos de pensión minima ya han sido abonados.Si has presentado inconvenientes o tienes dudas, debes llamar al 2267-7777, opción 0, para brindarte una asesoría más integral. Será un gusto atenderte.",view comment
,3-2,cecy7571,29/01/21 21:46:13,0,@afp.confia buenas si yo ya fui a sacar la pensión de enero pero el complemento de la pensión mínima no apareció nada he querido hablar con unos de ustedes y no con testan gaste mí saldo y nada dan un mal servicio,view comment
1,,lulurivera74,15/01/21 10:45:26,0,Necesito saber si ya llené los datos para el anticipo me hablarán o me enviaran correo porque llamo y en el. Número que dan se va el saldo y no lo atienden sólo grabaciones,view comment
,1-1,afp.confia,15/01/21 15:13:01,1,"@lulurivera74 Buen día. Para brindarte una asesoría más integral sobre tu caso, puedes llamar al 2267-7777, opción 0, o también escribir por Whatsapp al mismo número (wa.me/50322677777) Para ser atendido por un Asesor, debes enviar la palabra “Ayuda” en dicha plataforma. Si lo prefieres, puedes escribirnos un mensaje en Facebook Messenger y solicitar el mismo tipo de atención.",view comment
2,,mirianarmidasintigohernande,15/01/21 22:23:44,0,no así nadie podrá hacer nada esto de lo  virtual no sirve ya que,view comment
3,,cecy7571,22/01/21 16:09:01,0,Cuando van a pagar lo de enero siempre saben pagar antes de la fecha,view comment
,3-1,afp.confia,22/01/21 16:16:02,0,@cecy7571 Buen día. Te comentamos que las pensiones de enero ya han sido abonadas.,view comment
4,,tigre1531,24/01/21 03:58:01,0,"Buen día , pueden darme información para poder solicitar el anticipo de saldo , al que por ley se puede ...al cumplir los 50 anos , gracias",view comment
,4-1,afp.confia,25/01/21 15:52:21,0,"@tigre1531 Hola. Con respecto al trámite de anticipo de saldo, si cumples con todos los requisitos que exige este año la Ley SAP de El Salvador (no debes estar pensionado/a, tener registradas al menos 10 años de cotizaciones continuas o discontinuas, y tener la edad requerida en 2021: mujeres, 45 años o más y hombres, 50 años o más), puedes iniciar hoy mismo tu trámite en línea sin necesidad de visitar una agencia, ingresando al siguiente enlace: https://www.mianticipoconfia.com",view comment
,4-2,tigre1531,25/01/21 19:06:56,1,@afp.confia gracias,view comment
1,,rsandrabetty,06/01/21 00:26:46,1,Yo necesito mí historial de trabajo 😮,view comment
,1-1,afp.confia,06/01/21 16:49:01,0,"@rsandrabetty Con gusto. Puedes solicitar tu historial laboral escribiendo por Whatsapp al 2267-7777 o a nuestro Facebook Messenger. En dichas plataformas, solicita la ayuda de un Asesor para que podamos brindarte atención personalizada. También puedes pedirlo vía telefónica al 2267-7777 (opción 0). Si tienes tu correo electrónico registrado en nuestro sistema lo puedes descargar desde #ConfíaVirtual. Por motivos de seguridad no podemos enviarlo por este medio. Agradecemos tu comprensión.",view comment
2,,herr.erapatricio,06/01/21 02:57:59,0,Nesecito miestado de cuenta Hernán Patricio Herrera,view comment
,2-1,afp.confia,06/01/21 16:50:37,0,"@herr.erapatricio Con gusto. Puedes solicitar tu estado de cuenta escribiendo por Whatsapp al 2267-7777 o a nuestro Facebook Messenger. En dichas plataformas, solicita la ayuda de un Asesor para que podamos brindarte atención personalizada. También puedes pedirlo vía telefónica al 2267-7777 (opción 0). Si tienes tu correo electrónico registrado en nuestro sistema lo puedes descargar desde #ConfíaVirtual. Por motivos de seguridad no podemos enviarlo por este medio. Agradecemos tu comprensión.",view comment
3,,jeaneth.____,18/01/21 23:09:11,0,Mentiras yo pregunto y no me disen nada de mi estado de cuenta,view comment
,3-1,afp.confia,19/02/21 15:41:21,0,"@jeaneth.____ Buen día. Para actualizar tus datos de contacto y activar la comunicación electrónica en AFP Confía, debes llamar al 2267-7777, opción 0. Por motivos de seguridad no podemos hacerlo a través de otro medio.",view comment
4,,doritta27,19/01/21 03:08:04,0,Necesito mi estado de cuenta,view comment
,4-1,afp.confia,19/01/21 15:34:52,0,"@doritta18 Buen día.  Solicita tu estado de cuenta escribiéndonos a Whatsapp (+503 2267-7777) http://wa.me/50322677777 o mandando un mensaje a nuestro Facebook Messenger http://m.me/AFPCONFIA, y lo recibirás automáticamente en tu correo electrónico. Tessa, nuestra asistente virtual, te guiará en el proceso. Si aún no has registrado tu correo electrónico, por motivos de seguridad debes hacerlo llamando al 2267-7777, opción 0.",view comment
5,,herr.erapatricio,19/02/21 14:32:23,0,👏,view comment
6,,jeaneth.____,23/02/21 20:25:20,0,Buenas tardes. Me a se el favor de darme un estado de cuenta gracias,view comment
,6-1,afp.confia,23/02/21 20:29:16,0,"@jeaneth.____ Buen día.  Solicita tu estado de cuenta escribiéndonos a Whatsapp (+503 2267-7777) o mandando un mensaje a nuestro Facebook Messenger, y lo recibirás automáticamente en tu correo electrónico. Tessa, nuestra asistente virtual, te guiará en el proceso. Si aún no has registrado tu correo electrónico, por motivos de seguridad debes hacerlo llamando al 2267-7777, opción 0.",view comment
1,,miguelmelendez77,31/01/21 20:10:10,0,Pero chicos poned el enlace 🤦‍♂️,view comment
,1-1,afp.confia,31/01/21 20:18:47,0,"@miguelmelendez77 como lo indicamos en la publicación, el link lo encuentras disponible en nuestra bio 😉",view comment
2,,jj73520,01/02/21 17:44:10,0,Disculpe no sé que es su BIO y donde se encuentra,view comment
,2-1,afp.confia,01/02/21 19:57:28,0,@jj73520 Hola. Debes ingresar a nuestro perfil y consultar la información de contacto de AFP Confía.,view comment
1,,juannavarrete624,09/01/21 01:24:24,1,recondo0077@gmail.com,view comment
1,,bonilla5062,12/01/21 05:03:13,0,Quiero saber si puedo obtener el%50 de mi pensión,view comment
,1-1,afp.confia,12/01/21 15:25:01,0,"@bonilla5062 Hola. Si cumples con todos los requisitos que exige este año la Ley SAP de nuestro país (no debes estar pensionado/a, tener registradas al menos 10 años de cotizaciones continuas o discontinuas, y tener la edad requerida en 2021: mujeres, 45 años o más y hombres, 50 años o más), puedes iniciar hoy mismo tu trámite de anticipo de saldo, sin necesidad de visitar una agencia, ingresando al siguiente enlace: https://www.mianticipoconfia.com",view comment
,1-2,bonilla5062,13/01/21 21:26:49,0,@bonilla5062 sólo tengo 35 años y ya no cotizo como empleado,view comment
2,,nesttor_romero,12/01/21 06:32:48,1,Yo quiero saber si puedo recibir un adelanto de mi pensión,view comment
,2-1,afp.confia,12/01/21 15:24:48,1,"@nesttor_romero Hola. Si cumples con todos los requisitos que exige este año la Ley SAP de nuestro país (no debes estar pensionado/a, tener registradas al menos 10 años de cotizaciones continuas o discontinuas, y tener la edad requerida en 2021: mujeres, 45 años o más y hombres, 50 años o más), puedes iniciar hoy mismo tu trámite de anticipo de saldo, sin necesidad de visitar una agencia, ingresando al siguiente enlace: https://www.mianticipoconfia.com",view comment
3,,bonilla5062,13/01/21 21:29:11,0,Y para solicitar un préstamo de dé mi áhorro,view comment
,3-1,afp.confia,13/01/21 21:30:00,1,"@bonilla5062 Hola. Con respecto al trámite de anticipo de saldo, si cumples con todos los requisitos que exige este año la Ley SAP de El Salvador (no debes estar pensionado/a, tener registradas al menos 10 años de cotizaciones continuas o discontinuas, y tener la edad requerida en 2021: mujeres, 45 años o más y hombres, 50 años o más), puedes iniciar hoy mismo tu trámite en línea sin necesidad de visitar una agencia, ingresando al siguiente enlace: https://www.mianticipoconfia.com",view comment
4,,cesi_cruzz,18/01/21 20:41:43,0,"Hola yo estudio en la UNAB, solamente debo enviar mi constancia de estudio?",view comment
,4-1,afp.confia,18/01/21 20:43:36,0,@cesi_cruzz Hola. Envíanos un mensaje directo para brindarte la información completa ;),view comment
1,,bonilla5062,23/01/21 03:17:42,0,❤️,view comment
1,,maria__elena_mk,26/01/21 17:16:06,0,A donde envío mi correo,view comment
,1-1,afp.confia,26/01/21 17:46:27,0,"@maria__elena_mk Debes activar la comunicación electrónica, debes llamar al 2267-7777 (opción 0). Por motivos de seguridad, debes hacerlo por dicho canal.",view comment
2,,rojasmariopalma90,27/01/21 21:42:17,0,Minonvrees Mario Ernesto rojas Flores micoreo es mariofrojas20@gmail.com,view comment
,2-1,afp.confia,27/01/21 21:55:12,0,"@rojasmariopalma90 Buen día. Para actualizar tus datos de contacto y activar la comunicación electrónica en AFP Confía, debes llamar al 2267-7777, opción 0. Por motivos de seguridad no podemos hacerlo a través de otro medio.",view comment
1,,decruzyessi,17/01/21 00:10:38,0,Quiero información,view comment
1,,lorenita_saenz,22/01/21 01:05:56,1,@katypaniagua,view comment
2,,melara.nadine,22/01/21 14:05:16,1,Excelente coach @katypaniagua,view comment
1,,alicampos2950,18/01/21 18:45:48,0,😢😢😢😢,view comment
2,,jeaneth.____,18/01/21 23:07:24,1,Yo lo que quiero un estado de cuenta de mis ahorros.,view comment
,2-1,eufemialemus,19/01/21 19:57:09,0,@afp.confia yo kiero un 25% de mis ahorros xq me an suspendido en el trabajo y lo necesito,view comment
,2-2,afp.confia,19/01/21 20:37:16,0,"@eufemialemus Hola. Con respecto al trámite de anticipo de saldo, si cumples con todos los requisitos que exige este año la Ley SAP de El Salvador (no debes estar pensionado/a, tener registradas al menos 10 años de cotizaciones continuas o discontinuas, y tener la edad requerida en 2021: mujeres, 45 años o más y hombres, 50 años o más), puedes iniciar hoy mismo tu trámite en línea sin necesidad de visitar una agencia, ingresando al siguiente enlace: https://www.mianticipoconfia.com",view comment
,2-3,eufemialemus,19/01/21 21:19:21,0,@afp.confia fijese yo ingrese el correo y me pide una contraceña y no se cual poner si esq ustedes me la van a enviar,view comment
3,,clau.alvarado65,19/01/21 02:56:17,1,"Buenas noches,.pueden proporcionar el historial laboral por este medio?",view comment
,3-1,afp.confia,19/01/21 15:35:39,0,"@clau.alvarado65 Puedes solicitar tu historial laboral escribiendo por Whatsapp al 2267-7777 o a nuestro Facebook Messenger. En dichas plataformas, solicita la ayuda de un Asesor para que podamos brindarte atención personalizada. También puedes pedirlo vía telefónica al 2267-7777 (opción 0). Si tienes tu correo electrónico registrado en nuestro sistema lo puedes descargar desde #ConfíaVirtual: https://virtualafpconfia.com/web/afiliado. Por motivos de seguridad no podemos enviarlo por este medio. Agradecemos tu comprensión.",view comment
,3-2,cerrito_xiomara,19/01/21 15:56:48,0,@afp.confia buen día .....pero si no contestan ninguna plataforma ...q puede hacer uno pues 🙄🤦,view comment
4,,fenandoare,20/01/21 18:01:36,0,Quiero un estado de cuenta de mis ahorros,view comment
,4-1,afp.confia,20/01/21 18:07:00,0,"@fenandoare Solicita tu estado de cuenta por Whatsapp (+503 2267-7777) o Facebook Messenger, y lo recibirás automáticamente en tu correo electrónico registrado. Tessa, nuestra asistente virtual, te guiará en el proceso.",view comment
5,,joseangelderasabarca,03/02/21 22:02:57,0,tardes como solicito estado de cuenta,view comment
,5-1,afp.confia,03/02/21 22:03:57,0,"@joseangelderasabarca Buen día.  Solicita tu estado de cuenta escribiéndonos a Whatsapp (+503 2267-7777) o mandando un mensaje a nuestro Facebook Messenger, y lo recibirás automáticamente en tu correo electrónico. Tessa, nuestra asistente virtual, te guiará en el proceso. Si aún no has registrado tu correo electrónico, por motivos de seguridad debes hacerlo llamando al 2267-7777, opción 0.",view comment
1,,ceronjdavid,08/04/21 03:17:14,1,"Nada menos hoy hable para solicitar un estado de cuenta y me hicieron esperar más de diez minutos solamente para cuando me atendió la ejecutiva me volvió a dejar en modo de espera y corto la llamada, a todo esto mas de 15 minutos perdidos.. Y no se dignaron en devolverme la llamada.. 🤔",view comment
,1-1,afp.confia,09/04/21 00:24:56,1,"@ceronjdavid Buen día. Gracias por contactarnos y por tu retroalimentación. ¿Puedes enviarnos en un mensaje directo tu nombre completo, DUI, teléfono y correo electrónico para poder contactarte? Así podremos conocer mejor tu caso y ayudarte con la gestión. Quedamos a la espera.",view comment
1,,quirmanuelantonio,19/04/21 04:46:16,0,Envien mi fecha que debo informar mi sobrevivencia y como hacerlo.,view comment
,1-1,afp.confia,19/04/21 14:47:24,0,"@quirmanuelantonio Buen día. Para brindarte una asesoría más integral sobre tu caso, puedes llamar al 2267-7777, opción 0, si no también escribir por Whatsapp al mismo número (+503 22677777) Recuerda que, para ser atendido por un Asesor, debes enviar la palabra “Ayuda” en dicha plataforma. Si lo prefieres, puedes escribirnos un mensaje privado en Facebook Messenger y solicitar ser atendido por un Asesor.",view comment
,1-2,quirmanuelantonio,22/04/21 13:26:15,0,@afp.confia ..ayuda 26677777,view comment
,1-3,afp.confia,22/04/21 15:09:40,0,@quirmanuelantonio Por este medio no podemos brindarle seguimiento a tu solicitud. Te invitamos a escribir por Whatsapp al +503 22-677777.,view comment
1,,arias03_03,19/04/21 21:56:29,0,Me explica o le da más información de a que se refiere,view comment
,1-1,afp.confia,20/04/21 14:53:30,1,"@arias03_03 Buen día. ¡Con gusto! Te invitamos a ingresar al siguiente enlace web: https://www.confia.com.sv/web/guest/apv/beneficios-del-apv En dicho link encontrarás la información completa sobre nuestro nuevo producto Proyecta 5 Plus y podrás pre-vincularte al mismo. Si nos envías un mensaje directo, te enviamos por dicho medio el enlace.",view comment
2,,lilithaaguilar,22/04/21 21:27:55,0,Me explican x favor,view comment
,2-1,afp.confia,22/04/21 21:36:56,0,@lilithaaguilar Buen día. ¡Con gusto! Te invitamos a ingresar al siguiente enlace web: https://www.confia.com.sv/web/guest/apv/beneficios-del-apv En dicho link encontrarás la información completa sobre nuestro nuevo producto Proyecta 5 Plus y podrás pre-vincularte al mismo. Envíanos un mensaje privado para enviarte el enlace directamente ;),view comment
1,,davidgalvez1215,23/04/21 00:44:50,1,Gracias por su servicios.,view comment
,1-1,afp.confia,23/04/21 00:45:31,0,@davidgalvez1215 Estamos para servirte.,view comment
,1-2,davidgalvez1215,23/04/21 00:47:12,0,@afp.confia Excelente por sus atenciones.,view comment
2,,patytejada87,23/04/21 01:02:00,1,Muchas gracias por avisar🙏,view comment
,2-1,afp.confia,23/04/21 01:05:10,1,@patytejada87 para servirte. Feliz noche.,view comment
3,,iuis.bonilla1952,23/04/21 01:25:13,1,❤️❤️❤️❤️❤️,view comment
4,,lili_gonzalez92,23/04/21 03:18:11,1,Muchas gracias yo fui hoy tarde y efectivamente ya estaba el pago en mi cuenta bancaria bendiciones,view comment
5,,paizfrancisco,23/04/21 03:37:06,1,Gracias!!! Son lo máximo.,view comment
6,,manuelde152,23/04/21 03:54:55,1,Muchas gracias no saben cuánto nos ayudan con esto de adelantar la pensión,view comment
7,,franciscoes997,23/04/21 13:42:16,1,"Buenos días Gracias, gracias saludos",view comment
8,,quirmanuelantonio,23/04/21 14:02:32,1,❤️,view comment
9,,arknoah1959,23/04/21 17:22:01,1,"Gracias por avisar, buen dia !!!!!!",view comment
10,,isabeldeerrington,24/04/21 02:29:04,0,Actualicen el calendario que enviaron .,view comment
11,,yani.santos.96,24/04/21 13:46:33,0,Gracias,view comment
1,,joseangelderasabarca,27/04/21 17:21:28,0,No encuentro donde lo asen  sin una gia,view comment
1,,javierayala33,27/04/21 19:44:28,0,Bueno grasiás,view comment
1,,quirmanuelantonio,30/04/21 16:12:45,0,"Hola soy 167982020000,quiero saber cuando debo enviar reporte para sobrevivencia.",view comment
,1-1,afp.confia,30/04/21 16:20:29,1,"@quirmanuelantonio Buen día. Para brindarte una asesoría más integral sobre tu caso, puedes llamar al 2267-7777, opción 0, si no también escribir por Whatsapp al mismo número. Recuerda que, para ser atendido por un Asesor, debes enviar la palabra “Ayuda” en dicha plataforma. Si lo prefieres, puedes escribirnos un inbox en Facebook Messenger y solicitar ser atendido por un Asesor.",view comment
1,,claudia195241,03/05/21 17:56:33,0,Favor si me pueden decir como funcipna este plan? Gracias,view comment
,1-1,afp.confia,03/05/21 20:54:43,0,"@claudia195241 Hola, Claudia. ¿Puedes enviarnos un mensaje directo para proporcionarte más información? Quedamos a la espera.",view comment
,1-2,claudia195241,05/05/21 00:45:18,0,@afp.confia Gracias,view comment
1,,ivanzetino2016,07/05/21 02:02:18,0,Hola buenas noches sera que me puede dar información para el retiro de la mitad de mis ahorros😮😮😮,view comment
