"X.U.FEFF.Comment","text_tokens","V3"
"buenos días necesito pedir mi estado de cuenta de los últimos 6 meses y la agencia sonsonate esta cerreda"," ","bueno día necesitar pedir mi estar de contar de el último 6 mes y el agenciar sonsonate este cerreda"
"AFP CONFIA buenas tardes mando mis datos y me dice que mi nuemero de Dui no corresponde a cuenta y a mi me descuentan por aquí "," ","afp confia bueno tardar mandar mi dato y me decir que mi nuemero de dui no corresponder a contar y a mi me descontar por aquí"
"Buenas quisiera saber si estoy afiliada a AFP confía"," ","bueno querer saber si estar afiliado a afp confiar"
"AFP CONFIA si desde ayer he estado llamando lo mismo ise en Whatssap pero me dejaron en espera "," ","afp confia si desde ayer haber estar llamar el mismo ise en whatssap pero me dejar en esperar"
"Ya hice una cita para ir a sacar la tarjeta por q eso es lo que me urge y me dieron la opción de sacar una copia virtual de mi carnet pero no me aparse como usuario"," ","ya hacer unir citar parar ir a sacar el tarjeta por q ese ser el que me urgir y me dar el opción de sacar unir copiar virtual de mi carnet pero no me aparse comer usuario"
"Aquí es donde tengo el problema"," ","aquí ser donde tener el problema"
"Buenas tardes intento entrar al link que ustedes ponen pero dise error y necesito sacar una cita"," ","bueno tardar intentar entrar al link que vosotros poner pero dise error y necesitar sacar unir citar"
"Hola buenos días nesesito agendar una cita para un anticipo o un préstamo"," ","hola bueno día nesesito agendar unir citar parar uno anticipar o uno préstamo"
"Alguien me puede decir,,ó explicar sobre el pago de beneficiario,ya que no tengo el calendario de este año"," ","alguien me poder decir , , ó explicar sobrar el pagar de beneficiario , ya que no tener el calendario de este año"
"AFP CONFIA g"," ","afp confia gramo"
"Como puedo comunicarme con atención al cliente para pider actualizar mi correo electrónico y poder pedir estado de cuenta online"," ","comer poder comunicarme con atención al cliente parar pider actualizar mi correar electrónico y poder pedir estar de contar online"
"Hola buena mi pregunta es cuando puedo empezar a tramitar mi pension ya que. En agosto de 2021 cumplo 60 de antemano le agradesco su respuesta"," ","hola bueno mi preguntar ser cuando poder empezar a tramitar mi pension ya que . en agostar de 2021 cumplir 60 de antemano le agradesco su respuesta"
"Necesito el estado de cuenta de mi AFP  como hago"," ","necesitar el estar de contar de mi afp comer hacer"
"Buenos días,  consultarles yo envié correo sobre mi anticipo el día miércoles de la semana pasada, con toda la documentación que ustedes requieren, cuál? es el tiempo de respuesta de esta gestión?  Agradeceré su respuesta"," ","bueno día , consultarles yo enviar correar sobrar mi anticipar el día miércoles de el semana pasar , con todo el documentación que vosotros requerir , cuál ? ser el tiempo de respuesta de este gestión ? agradecer su respuesta"
"Buenas  tardes... las fechas de este año de pago de pension me lo podrían proporcionar?"," ","bueno tardar . . . el fecha de este año de pagar de pension me el poder proporcionar ?"
"Necesito  que me contestem unas dudas y pues mopuedo comunicarme por teléfono pq nunca lo atienden a uno  y por WhatsApp hace una semana  escribí  y nada "," ","necesitar que me contestem unir duda y pues mopuedo comunicarme por teléfono pq nunca el atender a unir y por whatsapp hacer unir semana escribir y nadar"
"Necesito enviar mis datos del anticipo y me dice que ya se enviaron datos similares!! Que singnifica eso??? Y como los puedo enviar??"," ","necesitar enviar mi dato del anticipar y me decir que ya se enviar dato similar ! ! que singnifica ese ? ? ? y comer el poder enviar ? ?"
"Una pregunta para que si yo ya no trabaje en ningún lado pero me descontaron y al tener la edad de 55 años no puedo retirar el dinero que tengo ahorrado"," ","unir preguntar parar que si yo ya no trabajar en ninguno lado pero me descontar y al tener el edad de 55 año no poder retirar el dinero que tener ahorrar"
"Muchas gracias Dios los bendiga <U+0001F64F>"," ","mucho gracia dios el bendecir <U+0001F64F>"
"AFP CONFIA gracias!buenas noches <U+0001F642>"," ","afp confia gracia ! bueno noche <U+0001F642>"
"Muchas gracias por la información, bendiciones"," ","mucho gracia por el información , bendición"
"Mi papá recibe 209 dolares tambien aplica para el incremento de pension minima?"," ","mi papá recibir 209 dolar tambien aplicar parar el incrementar de pension minima ?"
"Muchas gracias"," ","mucho gracia"
"Gracias"," ","gracia"
"Gracias muy amables y la fecha de control cuando será, se mantiene o cambia"," ","gracia muy amable y el fechar de control cuando ser , se mantener o cambiar"
"Muchas gracias bendiciones"," ","mucho gracia bendición"
"Se les agradece mucho  por la información"," ","se les agradecer mucho por el información"
"Muchas gracias ! Feliz Año!"," ","mucho gracia ! feliz año !"
"Muchas gracias"," ","mucho gracia"
"Gracias muy amables. Que Dios los bendiga."," ","gracia muy amable . que dios el bendecir ."
"Ami me toca firmar en mayo necesito saber  como voy hacer"," ","ami me tocar firmar en mayar necesitar saber comer ir hacer"
"Gracias!"," ","gracia !"
"Muchas gracias por el calendario de pago de pensiones.  Gracias AFP CONFIA"," ","mucho gracia por el calendario de pagar de pensión . gracia afp confia"
"Gracias por la información."," ","gracia por el información ."
"Muchas gracias por informacion"," ","mucho gracia por informacion"
"Buena información"," ","bueno información"
"HOLA. NOS PODRIAN COMPARTIR DE FAVOR CALENDARIO DE FECHAS DE PAGOS 2021 PARA EMPLEADORES?"," ","hola . no podrian compartir de favor calendario de fecha de pago 2021 parar empleador ?"
"Muchas gracias bendiciones"," ","mucho gracia bendición"
"Gracias"," ","gracia"
"Muchas gracias bendiciones"," ","mucho gracia bendición"
"Gracias por su información afp confía"," ","gracia por su información afp confiar"
"Eso sí está bien, gracias"," ","ese sí estar bien , gracia"
"Hola  ami metoca firmar en estemes kepuedo aser  yales escrivi en guasax ynocontestan"," ","hola ami metoca firmar en estemes kepuedo aser yales escrivi en guasax ynocontestan"
"si muchas gracias  yo estoy en espera"," ","si mucho gracia yo estar en esperar"
"Amén"," ","amén"
"Gracias<U+0001F44D><U+0001F44D><U+0001F44D>"," ","gracia <U+0001F44D> <U+0001F44D> <U+0001F44D>"
"Muchas gracias.  Bendiciones"," ","mucho gracia . bendición"
"Muchas gracias por la información"," ","mucho gracia por el información"
"Yo necesito mi estado se cuenta y sale que mis datos no hay registros"," ","yo necesitar mi estar se contar y salar que mi dato no haber registro"
"Muchas gracias por su atención feliz día <U+2615><U+0001F369>"," ","mucho gracia por su atención feliz día <U+2615> <U+0001F369>"
"Cesar Paiz"," ","cesar paiz"
"exselente.muybuenoGrasias"," ","exselente.muybuenograsias"
"Gracias"," ","gracia"
"Yo quiero sacar mi anticipo de saldo 25% "," ","yo querer sacar mi anticipar de saldar 25 %"
"Muchas gracias bendiciones"," ","mucho gracia bendición"
"Gracias por el calendario de pagos les agradezco"," ","gracia por el calendario de pago les agradecer"
"Grasias"," ","grasias"
"Esta misma fecha asen los pagos por Sobrevivencia"," ","este mismo fechar asar el pago por sobrevivencia"
"Pero a mi no me aparese el pago"," ","pero a mi no me aparese el pagar"
"Gracias"," ","gracia"
"Yo cotice con confia ya tengo mas de 50 años y quisiera retir mi dinero como ago"," ","yo cotizar con confia ya tener mas de 50 año y querer retir mi dinero comer ago"
"Buenas tardes, que día van a depositar la pensión del mes de Enero "," ","bueno tardar , que día ir a depositar el pensión del mes de enero"
"Alguien me puede decir si ya depositaron"," ","alguien me poder decir si ya depositar"
"Ya hicieron el deposito de este mes pero no pagaron el nuevo decreto por nuestro presidente"," ","ya hacer el depositar de este mes pero no pagar el nuevo decretar por nuestro presidente"
"AFP CONFIA gracias"," ","afp confia gracia"
"AFP CONFIA ya abonaron el complemento de Enero de la pensión mínima?"," ","afp confia ya abonar el complementar de enero de el pensión mínimo ?"
"Una consulta, y los pensionados de las AFP, les aumentarán también la pensión?"," ","unir consultar , y el pensionado de el afp , les aumentar también el pensión ?"
"Genialísimo "," ","genialísimo"
"Señores de confía ustedes no han hecho el incremento ala pensión mínima y ya salió que el presidente lo firmó"," ","señor de confiar vosotros no haber hacer el incrementar ala pensión mínimo y ya salir que el presidente el firmar"
"Cuánto tiempo debo esperar para que hagan el primer depósito de mi jubilación , ya estando en regla toda la información y los documentos requeridos, además de verificados confirmados por la AFP"," ","cuánto tiempo deber esperar parar que hacer el 1 depósito de mi jubilación , ya estar en reglar todo el información y el documento requerir , además de verificar confirmar por el afp"
"Ya tenemos un mes calendario que nos pagaron, y sería injusto esperar otros tres días más."," ","ya tener uno mes calendario que no pagar , y ser injusto esperar otro tres día más ."
"Ok"," ","ok"
"Buenos días deseo saber mi estado de cuenta del último año y será posible por este medio"," ","bueno día desear saber mi estar de contar del último año y ser posible por este mediar"
"AFP CONFIA muchas gracias por la información "," ","afp confia mucho gracia por el información"
"Buenas tardes quisiera saber si el aumento aplica para las personas que son beneficiarias por ejemplo mi mamá al morir mi papá le quedó de 230 más o menos "," ","bueno tardar querer saber si el aumentar aplicar parar el persona que ser beneficiario por ejemplo mi mamá al morir mi papá le quedar de 230 más o menos"
"Francisco Adan Gamez "," ","francisco adir gamez"
"Afp confia tengo una duda por que no he recibido el incremento de la pension aún feliz tarde"," ","afp confia tener unir dudar por que no haber recibir el incrementar de el pension aun feliz tardar"
"mi nombre es Nefer Ricardo Avelar. quiero comentar que unos meses atrás me acerque a las oficinas de afp confía san n Miguel  para iniciar mis tramites de retiro ya que tengo el tiempo y la edad y la ejecutiva mando mi información a inpep  quiero saber como va mi proceso en inpep."," ","mi nombrar ser nefer ricardo avelar . querer comentar que uno mes atrás me acercar a el oficina de afp confiar santo n miguel parar iniciar mi tramitar de retirar ya que tener el tiempo y el edad y el ejecutivo mandar mi información a inpep querer saber comer ir mi procesar en inpep ."
"Quisiera saber si depositaran antes de la fecha así como hacían el Año pasado"," ","querer saber si depositar antes de el fechar asir comer hacer el año pasar"
"AFP CONFIA muchas gracias "," ","afp confia mucho gracia"
"No adelantaran el pago "," ","no adelantar el pagar"
"Ya depositaron el pago de enero? Gracias"," ","ya depositar el pagar de enero ? gracia"
"Hola Buenas No puedo retirar mi pencion y ya hice mi control de supervivencia por medio de messenger"," ","hola bueno no poder retirar mi pencion y ya hacer mi control de supervivencia por mediar de messenger"
"ED Chevez el mes pasado lo hice por medio de whatsapp"," ","ed chevez el mes pasar el hacer por mediar de whatsapp"
"Buenos dias a que horas se podra cobrar la pension"," ","bueno dias a que hora se pudrir cobrar el pension"
"AFP CONFIA muchas gracias por ser tan amables que Dios les bendiga."," ","afp confia mucho gracia por ser tan amable que dios les bendecir ."
"Bueno dias a que hora se podra cobrar la pension"," ","bueno dias a que hora se pudrir cobrar el pension"
"A mi papá no le han abonado nada, y le toca firmar hasta en Abril, quiero saber el motivo porfavor"," ","a mi papá no le haber abonar nadar , y le tocar firmar hasta en abril , querer saber el motivar porfavor"
"Quiero saber cuándo van a depositar"," ","querer saber cuándo ir a depositar"
"No sé porque no me parece ya consulte y nada"," ","no saber porque no me parecer ya consultar y nadar"
"Porque no han depositado en mi cuenta?"," ","porque no haber depositar en mi contar ?"
"Buenas tardes que debe hcer mi papa para firmar convivencia puesto que no le han despoitado su pension...ayudenme porfavor he escritoal whatsapp y no atienden me pueden ayudar de los agradecere"," ","bueno tardar que deber hcer mi papar parar firmar convivencia poner que no le haber despoitado su pension . . . ayudenme porfavor haber escritoal whatsapp y no atender me poder ayudar de el agradecere"
"Buenas tardes  amigo papá le tocaba firmar en diciembre pero se yamo Al AFP pero  aún no le ande positado y   se yama Julián barrera ycomo puedo saber la fecha  de cuando le toca firmar por favor"," ","bueno tardar amigar papá le tocar firmar en diciembre pero se yamo al afp pero aun no le andar positado y se yama julián barrera ycomo poder saber el fechar de cuando le tocar firmar por favor"
"Buenos días quiciera saber xq no aparece el Depósito de Enero 2021"," ","bueno día quiciera saber xq no aparecer el depósito de enero 2021"
"Buenos dias quiero saber a los cuantos años voy areglar papeles para q me sigan dando la pension yo tengo el segundo dictamen de invalidez y despues m dijeron q de vejez a los 55 años"," ","bueno dias querer saber a el cuanto año ir areglar papel parar q me seguir dar el pension yo tener el 2 dictamen de invalidez y despues metro decir q de vejez a el 55 año"
"De nada sirve si a mi esposo no lr han depositado desde el 23 de febrero y lr dijeron que hoy y hoy al llamar dicen que hasta el 11 total .......mientras el Sr no puede comprar sus medicamentos y sus compras del mes."," ","de nadar servir si a mi esposar no lr haber depositar desde el 23 de febrero y lr decir que hoy y hoy al llamar decir que hasta el 11 total . . . . . . . mientras el sr no poder comprar su medicamento y su compra del mes ."
"Donde lo veo?"," ","donde el ver ?"
"Ya Depositaron La Pencion  De Mes De  Abril"," ","ya depositar el pencion de mes de abril"
"AFP CONFIA  Gracias"," ","afp confia gracia"
"Buenas noches quisiera hacer una pregunta igual a mi papá no le ha parece el depósito de la pensión de este mes quisiera saber porque "," ","bueno noche querer hacer unir preguntar igual a mi papá no le haber parecer el depósito de el pensión de este mes querer saber porque"
"Estoy llamando i no contestan quiero cita i no puedo como hago díganme"," ","estar llamar i no contestar querer citar i no poder comer hacer díganme"
"Buenas tardes si yo hice y registre una cita, la cual no es por videollamada, debo presentarme presencialmente a la oficina de mi elección en este caso Agencia central, debo presentarme presencialmente el día y la hora en que programe la cita?"," ","bueno tardar si yo hacer y registrar unir citar , el cual no ser por videollamada , deber presentarme presencialmente a el oficina de mi elección en este casar agenciar central , deber presentarme presencialmente el día y el hora en que programar el citar ?"
"ok muchísimas gracias"," ","ok muchísimas gracia"
"Mi nombre es Ignacio Lopez Guardado soy pensionado por vejez y me estoy reportando que estoy con vida"," ","mi nombrar ser ignacio lopez guardar ser pensionar por vejez y me estar reportar que estar con vida"
"Muy buenas tardes nececito información cómo puedo hacer para retirar el 25 por ciento q van a dar soy una persona de 45 años de edad"," ","muy bueno tardar nececito información cómo poder hacer parar retirar el 25 por ciento q ir a dar ser unir personar de 45 año de edad"
"Ok yo tan,bien quiero tramitar el adelanto"," ","ok yo tan , bien querer tramitar el adelantar"
"Yo quiero un estado de cuenta como puedo aser"," ","yo querer uno estar de contar comer poder aser"
"como puedo ser para octener un estado de.cuenta"," ","comer poder ser parar octener uno estar de.cuenta"
"Buenas tardes para solicitar un estado de cuenta como se puede hacer"," ","bueno tardar parar solicitar uno estar de contar comer se poder hacer"
"Muchas gracias feliz tarde"," ","mucho gracia feliz tardar"
"Como le ago para sacar cita"," ","comer le ago parar sacar citar"
"nesecito saber mi nup"," ","nesecito saber mi nup"
"Porque sera que a mi no me responden lo que deseo saber"," ","porque sera que a mi no me responder el que desear saber"
"Elena Samayoa DelCid al wasap escribiles"," ","elena samayoa delcid al wasap escribiles"
"Dinora Delcid si pero solo tessa responde"," ","dinora delcid si pero solo tessa responder"
"Porque no acepta mi.numero de DUI cómo el documento registrado???Tengo mi tarjeta pero no me da acceso para entrar y solicitar mi estado de cuenta???"," ","porque no aceptar mi.numero de dui cómo el documentar registrar ? ? ? tener mi tarjeta pero no me dar acceso parar entrar y solicitar mi estar de contar ? ? ?"
"Quiero afiliarme Al AFP Cómo puedo hacer??"," ","querer afiliarme al afp cómo poder hacer ? ?"
"Hola m papá quiere retirar 25 porsiento q  van a dar  ya ma papá tiene 67 años"," ","hola metro papá querer retirar 25 porsiento q ir a dar ya ma papá tener 67 año"
"Realice por este medio mi control hasta el último paso...pero no me confirmaron si todo esta bien"," ","realizar por este mediar mi control hasta el último pasar . . . pero no me confirmar si todo este bien"
"Hola quiero está do de cuenta"," ","hola querer estar do de contar"
"Hola a mi papa le toca q ir a firmar como puede hacer para ir"," ","hola a mi papar le tocar q ir a firmar comer poder hacer parar ir"
"Normita Ramírez no sé si le funciona o está en otra AFP"," ","normita ramírez no saber si le funcionar o estar en otro afp"
"Ya no me mandaron mí estado de cuenta de la afp"," ","ya no me mandar mí estar de contar de el afp"
"El papá de mis hijos ace un año fayesio y quiciera saber yo si él rretio los a orros o el tiempo de estar cotisando"," ","el papá de mi hijo ace uno año fayesio y quiciera saber yo si él rretio el a orros o el tiempo de estar cotisando"
"El control de sobrevivencia  para menores de edad es lo mismo o el proceso es diferente ?"," ","el control de sobrevivencia parar menor de edad ser el mismo o el procesar ser diferente ?"
"Buenos días me pueden mandar mi estado de cuenta"," ","bueno día me poder mandar mi estar de contar"
"Hola , quiero mi estado de cuenta "," ","hola , querer mi estar de contar"
"Buen dia yo necesito hacer el tramite de la tajeta actual ya que me asaltaron y necesito sacar la de nuevo no se si me podrian ayudar en este tramite"," ","bueno dia yo necesitar hacer el tramitar de el tajeta actual ya que me asaltar y necesitar sacar el de nuevo no se si me podrian ayudar en este tramitar"
"Me gustaría saber si está abiert la agencia de Metrocentro sonsonate ????"," ","me gustar saber si estar abiert el agenciar de metrocentro sonsonate ? ? ? ?"
"Okey"," ","okey"
"Hola una consulta como puedo hacer para ver mi estado de ahorros"," ","hola unir consultar comer poder hacer parar ver mi estar de ahorro"
"Ok muchas gracias"," ","ok mucho gracia"
"Soy. Javier. Estrada. Y. Quiero. Saber cuanto. He cotizado"," ","ser . javier . estrada . y . querer . saber cuanto . haber cotizar"
"María Eugenia Felix "," ","maría eugenia felix"
"Buenas tarde a mi cliente se le va a cumplir el año de pensión de sobreviviente de viudez ... uds me dijeron q tendría q mandar una carta de sobrevivencia por medio del consolado más sercano  el problema está q ese consulado está cerrado por la pandemia que hay q hacer entonces pregunto .... gracias"," ","bueno tardar a mi cliente se le ir a cumplir el año de pensión de sobreviviente de viudez . . . uds me decir q tener q mandar unir carta de sobrevivencia por mediar del consolar más sercano el problema estar q ese consulado estar cerrar por el pandemia que haber q hacer entonces preguntar . . . . gracia"
"Maria Elena Menjivar Lara.hable para la firma de sobrevivencia me dijeron que me ivan a llamar y no la recibi"," ","maria elena menjivar lara.hable parar el firmar de sobrevivencia me decir que me ivan a llamar y no el recibi"
"Este tramite de sobrevivencia en linea puede hacerse desde otro país o sólo aplica para las personas que están en El Salvador?"," ","este tramitar de sobrevivencia en linear poder hacerse desde otro país o sólo aplicar parar el persona que estar en el salvador ?"
"Muchas gracias"," ","mucho gracia"
"Hola soi leonor nesecito  retirar de mi cuenta un 25  porciento como puedo haser ayudeme y tengo 54 de y trabajo en el minsal 23 años de trabajo"," ","hola soi leonor nesecito retirar de mi contar uno 25 porciento comer poder haser ayudeme y tener 54 de y trabajar en el minsal 23 año de trabajar"
"Q fecha darán pensión en Enero"," ","q fechar dar pensión en enero"
"Sera q hoy van a depositar AFP CONFIA"," ","sera q hoy ir a depositar afp confia"
"AFP confía metro sonsonate está cerrada adónde puedo acudir"," ","afp confiar metro sonsonate estar cerrar adónde poder acudir"
"Hola saludos por favor que es lo q necesito para poder poner como beneficiaria a mí señora"," ","hola saludo por favor que ser el q necesitar parar poder poner comer beneficiario a mí señor"
"Buenas tardesQuisiera saber como puedo hacer para cambiar la persona beneficiaria  que puse cuando me afilie ya que en ese entonces era soltera y hoy ya tengo un hijo.??"," ","bueno tardesquisiera saber comer poder hacer parar cambiar el personar beneficiario que poner cuando me afiliar ya que en ese entonces erar soltero y hoy ya tener uno hijo . ? ?"
"Hola quiero un estado de cuenta"," ","hola querer uno estar de contar"
"Mi esposo puede retirar el 25 por ciento cumple 50 años en septiembre"," ","mi esposar poder retirar el 25 por ciento cumplir 50 año en septiembre"
"Elpago.paracuando.de.pencion"," ","elpago.paracuando.de.pencion"
"Buenas noches disculpen podría retirar mis ahorros yo ya no cotizo y no trabajo tengo 58 años"," ","bueno noche disculpar poder retirar mi ahorro yo ya no cotizar y no trabajar tener 58 año"
"En caso de una menor como puedo realizar el control de sobreviviencia"," ","en casar de unir menor comer poder realizar el control de sobreviviencia"
"Hola yo el 15 de octubre empecé el trámite de mi pensión ya me enviaron por correo el traspaso y después de eso cuanto tiempo tengo q3 esperar para que me den mi pensión"," ","hola yo el 15 de octubre empezar el trámite de mi pensión ya me enviar por correar el traspasar y después de ese cuanto tiempo tener q3 esperar parar que me dar mi pensión"
"Necsito saber porque no le depositaron el mes de diciembre ami hijo"," ","necsito saber porque no le depositar el mes de diciembre ami hijo"
"Hola buenos días crees que me regala mi estado de cuenta"," ","hola bueno día crear que me regalar mi estar de contar"
"La comprobación de sobrevivensia es solo para las personas que están pensionados verdad?"," ","el comprobación de sobrevivensia ser solo parar el persona que estar pensionado verdad ?"
"Hola mi papá tiene 48 años quiero saber si aplica para retirar el 25/00 me contesta porfa"," ","hola mi papá tener 48 año querer saber si aplicar parar retirar el 25 / 00 me contestar porfa"
"Hola mi mama quiere retirar el 25% de anticipo que puede hacer????? Ella tiene 49 años y 17 años de cotizacion"," ","hola mi mamar querer retirar el 25 % de anticipar que poder hacer ? ? ? ? ? él tener 49 año y 17 año de cotizacion"
"Contr de sobrevivencia como pa que?Igual el que esta vivo sigue cotizando no?"," ","contr de sobrevivencia comer pa que ? igual el que este vivir seguir cotizar no ?"
"Tengo un problema mi nombre y mi número de Dui no aparecen registrados"," ","tener uno problema mi nombrar y mi número de dui no aparecer registrar"
"AFP CONFIA gracias"," ","afp confia gracia"
"Hola buenos días necesito información de una cotizate de AFP tiene 20 años de cotizar "," ","hola bueno día necesitar información de unir cotizate de afp tener 20 año de cotizar"
"Para poder adquirir la tarjeta que nesecito aser la perdi h me urge adquirla"," ","parar poder adquirir el tarjeta que nesecito aser el perdi hora me urgir adquirla"
"Tengi 51 años como puedo hacer de retirar el 25%"," ","tengi 51 año comer poder hacer de retirar el 25 %"
"Quiero saber mi estado de cuenta"," ","querer saber mi estar de contar"
"Hola buenas noches yo puedo retirar el 25 por ciento ya tengo mis 45 años y tengo más de 16 años de trabajar pero sigo trabajando"," ","hola bueno noche yo poder retirar el 25 por ciento ya tener mi 45 año y tener más de 16 año de trabajar pero seguir trabajar"
"AFP CONFIA Hola buenas tardes que tengo que hacer para que me den 25 por ciento"," ","afp confia hola bueno tardar que tener que hacer parar que me dar 25 por ciento"
"El numero para hablar con un asesor por favor"," ","el numerar parar hablar con uno asesor por favor"
"quiero saver cuanto tengo en mi cuesta de ahorro"," ","querer saver cuanto tener en mi costar de ahorrar"
"Nunca dan respuesta y sale que no tengo cuenta se lo robaron a qué?"," ","nunca dar respuesta y salar que no tener contar se el robar a qué ?"
"AFP CONFIA no pueden hacerlo por otro medio y porque publican que podemos consultar al numero de WhatsApp? Es una estáfa o solo quieren robar información?"," ","afp confia no poder hacerlo por otro mediar y porque publicar que podar consultar al numerar de whatsapp ? ser unir estáfa o solo querer robar información ?"
"Hola  yo hice los trámites de control de sobrevivencia de mí hija y el lunes  cuando puedo saber si ya le depositaron la pensión de ella porque hasta esta fecha no se la an depositado"," ","hola yo hacer el trámite de control de sobrevivencia de mí hijo y el lunes cuando poder saber si ya le depositar el pensión de él porque hasta este fechar no se el an depositar"
"AFP CONFIA gracias"," ","afp confia gracia"
"Ayala Karla q es eso d la pensión de sobrevivencia? "," ","ayala karla q ser ese d el pensión de sobrevivencia ?"
"Reina Reyna Rivera Denisse Rivera "," ","reinar reyna rivera denisse rivera"
"Hola yo tengo 54 años quiero saber referente al 25+ ciento"," ","hola yo tener 54 año querer saber referente al 25 + ciento"
"Hola buen día necesito solicitar mi estado de cuenta de un año para tramitar una casa con el fondo social "," ","hola bueno día necesitar solicitar mi estar de contar de uno año parar tramitar unir casar con el fondo social"
"Buenos dias mi mama no a firmado y por esa razon no pudo retirara su pension q se puede haser"," ","bueno dias mi mamar no a firmar y por ese razon no poder retirar su pension q se poder haser"
"Quisiera mi estado de cuenta como lo puedo obtener"," ","querer mi estar de contar comer el poder obtener"
"He pedido mi estado de cuenta por correo y no me ha llegado. Mal servicio.Antes, cada 3 meses me llegaba sin solicitarlo, hasta ya, llevaba mis cuentas."," ","haber pedir mi estar de contar por correar y no me haber llegar . mal servicio.antes , cada 3 mes me llegar sin solicitarlo , hasta ya , llevar mi contar ."
"Buenos dias mi estado de cuenta por favor"," ","bueno dias mi estar de contar por favor"
"Reina Denisse Rivera Reyna Rivera "," ","reinar denisse rivera reyna rivera"
"Hola! Y para cuando está tan los depósitos de pensionados del mes de enero 2021 mi tío no lo ha podido cobrar y no nos han dado respuesta"," ","hola ! y parar cuando estar tan el depósito de pensionado del mes de enero 2021 mi tío no el haber poder cobrar y no no haber dar respuesta"
"Quiero afiliarme pero desearía saber si se hace cita primero,, o no"," ","querer afiliarme pero desear saber si se hacer citar 1 , , o no"
"Hola buenos días quisiera saber como puede a ser mi papä para que le den   dinero que tiene ahorrado no estoy segura pero creo que es el 25 % el ya tiene 54 años ya no trabaja"," ","hola bueno día querer saber comer poder a ser mi papä parar que le dar dinero que tener ahorrar no estar seguro pero crear que ser el 25 % el ya tener 54 año ya no trabajar"
"Aa ok"," ","aa ok"
"Ahora que debo haser"," ","ahora que deber haser"
"Que pasos debo seguir"," ","que paso deber seguir"
"Disculpe la pregunta no me lo pueden mandar por guatsap el formulario para yenarlo"," ","disculpar el preguntar no me el poder mandar por guatsap el formulario parar yenarlo"
"Hola buen día ami me a dejado sita para el 11 de febrero y meanpedido partida debasimiento de mi hija para realizar el control de sobrevibensia quisiera preguntar si tiene se ser resiente la partida"," ","hola bueno día ami me a dejar sito parar el 11 de febrero y meanpedido partir debasimiento de mi hijo parar realizar el control de sobrevibensia querer preguntar si tener se ser resentir el partir"
"AFP CONFIA Ok gracias "," ","afp confia ok gracia"
"Quisiera saber por qué me cobran pago tardío si amo me descuentan antes de que paguen ya eso le deberían de cobrar al patrono no a mi me pueden explicar por favor"," ","querer saber por qué me cobrar pagar tardío si amar me descontar antes de que pagar ya ese le deber de cobrar al patrono no a mi me poder explicar por favor"
"Quiero saber porque no he depositado la pensión de enero? Que pasa con ustedes? Mi tío no la recibe aún y el realizó su control de sobrevivencia en diciembre 2020"," ","querer saber porque no haber depositar el pensión de enero ? que pasar con vosotros ? mi tío no el recibir aun y el realizar su control de sobrevivencia en diciembre 2020"
"Buena tarde aque horas es el horarios exactamente para poder llegar y que me de tarjeta nueva"," ","bueno tardar aque hora ser el horario exactamente parar poder llegar y que me de tarjeta nuevo"
"<U+0001F914><U+0001F914><U+0001F914><U+0001F914><U+0001F914><U+0001F914><U+0001F914>"," ","<U+0001F914> <U+0001F914> <U+0001F914> <U+0001F914> <U+0001F914> <U+0001F914> <U+0001F914>"
"Puedo actualizar mi información personal por línea?"," ","poder actualizar mi información personal por líneo ?"
"Nesesito ir al confía al de la jaun Pablo. Segundo"," ","nesesito ir al confiar al de el jaun pablar . 2"
"Hola buenos días yo tengo años de no trabajar y quiero saber que va pasar con  mis ahorros "," ","hola bueno día yo tener año de no trabajar y querer saber que ir pasar con mi ahorro"
" Hola cómo puedo solitar mi estado de cuenta"," ","hola cómo poder solitar mi estar de contar"
"U para solicitar tarjeta de afp porque me la robaron también debo pedir cita o ya atienden normal"," ","u parar solicitar tarjeta de afp porque me el robar también deber pedir citar o ya atender normal"
"<U+2B06><U+FE0F><U+2197><U+FE0F><U+27A1><U+FE0F><U+2198><U+FE0F><U+2B07><U+FE0F><U+2199><U+FE0F><U+25B6><U+FE0F><U+0001F534><U+0001F50A><U+0001F50A><U+0001F4E2><U+0001F4E3><U+0001F514><U+0001F1F8><U+0001F1FB>https://www.facebook.com/watch/?v=1140172853099825 me regalas un like al video porfis ... bendiciones"," ","<U+2B06> <U+2197> <U+27A1> <U+2198> <U+2B07> <U+2199> <U+25B6> <U+0001F534> <U+0001F50A> <U+0001F50A> <U+0001F4E2> <U+0001F4E3> <U+0001F514> <U+0001F1F8><U+0001F1FB> https://www.facebook.com/watch/?v=1140172853099825 me regala uno like al video porfis . . . bendición"
"Buenos días hasta cuándo habrá depósito sii dicen k están faltos de controles mis hijos. Y x eso no les han depositado"," ","bueno día hasta cuándo haber depósito sii decir k estar falto de control mi hijo . y x ese no les haber depositar"
"Buen día...podría enviarme el calendario con los dias de pago de este año....?"," ","bueno día . . . poder enviarme el calendario con el dias de pagar de este año . . . . ?"
"Los calendarios de pago no los ban a publicar por estos medios"," ","el calendario de pagar no el ban a publicar por este medio"
"Buenos tardes yo ya tengo 51 como puedo  aser para retirar  mis ahorros yo cotize 12 años "," ","bueno tardar yo ya tener 51 comer poder aser parar retirar mi ahorro yo cotize 12 año"
