"text.X.U.FEFF.Comment","text.text_tokens","text.V3","emotion","polarity"
"Disculpe yo ya saqué la cita y que pasos tengo que seguir y que documentos tengo que ",NA,"disculpar yo ya sacar el citar y que paso tener que seguir y que documento tener que","unknown","positive"
"Retiro de saldo",NA,"retirar de saldar","unknown","positive"
"AFP Crecer cuál bancose debe abrir la cuenta.para el anticipo",NA,"afp crecer cuál bancose deber abrir el cuenta.para el anticipar","unknown","positive"
"Necesito una cita para mi mamá ,,mi padre falleció y nos dejó un estado de cuenta q el tenia para reclamar como hago",NA,"necesitar unir citar parar mi mamá , , mi padre fallecer y no dejar uno estar de contar q el tenia parar reclamar comer hacer","unknown","negative"
"AFP Crecer pero quiero hablar personalmente para seguir el trámite",NA,"afp crecer pero querer hablar personalmente parar seguir el trámite","unknown","positive"
"Cuando llamaran para registrar la voz para verificar la  sobrebivencia????",NA,"cuando llamar parar registrar el voz parar verificar el sobrebivencia ? ? ? ?","unknown","positive"
"Estoy tramitando mi pension ,ya asisti a la cita de afp crecer y al inpep teniendo ambos historiales laborales  , estoy solicitando cita para presentar la documentacio y seguir mi proceso pero no corresponden ,me dejan en visto nada mas .",NA,"estar tramitar mi pension , ya asisti a el citar de afp crecer y al inpep tener ambos historial laboral , estar solicitar citar parar presentar el documentacio y seguir mi procesar pero no corresponder , me dejar en ver nadar mas .","unknown","negative"
"Necesito visitarles para retirar mis ahorros de 17 años Y cancelar descuentos xq se van hacer los locos de aquí a 5 años más...",NA,"necesitar visitarles parar retirar mi ahorro de 17 año y cancelar descuento xq se ir hacer el loco de aquí a 5 año más . . .","anger","positive"
"Necesito un estado de cuenta del ultimo año osea de un año",NA,"necesitar uno estar de contar del ultimar año osea de uno año","unknown","positive"
"AFP Crecer gracias ",NA,"afp crecer gracia","unknown","positive"
"una pregunta cómo se puede ir a dejar unas constancia de colegio",NA,"unir preguntar cómo se poder ir a dejar unir constancia de colegiar","unknown","positive"
"qué requisitos se necesita para que no me vaya a bloquear mi cuenta sobrevivencia",NA,"qué requerir se necesitar parar que no me ir a bloquear mi contar sobrevivencia","unknown","negative"
"AFP Crecer todos los años hay que presentar la constancia de estudios??Ya la presente una vez el año pasado ",NA,"afp crecer todo el año haber que presentar el constancia de estudio ? ? ya el presentar unir vez el año pasar","unknown","positive"
"Buenas tardes, yo hice  mi trámite de sobrevivencia a través de reconocimiento de voz, el asesor me dijo que se había hecho  bien y me dijo que me enviarían por correo la confirmación, pero ya pasó una semana y no he recibido el correo",NA,"bueno tardar , yo hacer mi trámite de sobrevivencia a través de reconocimiento de voz , el asesor me decir que se haber hacer bien y me decir que me enviar por correar el confirmación , pero ya pasar unir semana y no haber recibir el correar","joy","positive"
"AFP Crecer gracias",NA,"afp crecer gracia","unknown","positive"
"Bit/y/cita en crecer Metrocentro  martes 19 alas 2 ,p,m",NA,"bit / y / citar en crecer metrocentro martes 19 ala 2 , página , metro","unknown","positive"
"Yo quiciara  saber mi estado de cuenta como ago",NA,"yo quiciara saber mi estar de contar comer ago","unknown","positive"
"AFP Crecer ok gracias",NA,"afp crecer ok gracia","unknown","positive"
"Quiero una cita ",NA,"querer unir citar","unknown","positive"
"Yo necesito que me respondan cuánto tiempo debo esperar después de haber ingresado la solicitud de anticipo de pensión, la ingresé el 07 de enero y ese mismo día me dijeron que calificaba y que estaba aprobado, entonces cuando me responderán?",NA,"yo necesitar que me responder cuánto tiempo deber esperar después de haber ingresar el solicitud de anticipar de pensión , el ingresar el 07 de enero y ese mismo día me decir que calificar y que estar aprobar , entonces cuando me responder ?","joy","positive"
"Gracias por responder",NA,"gracia por responder","unknown","positive"
"Número de teléfono pongan avemos muchas personas que no sabemos mucho de inter",NA,"número de teléfono poner avemos mucho persona que no saber mucho de inter","unknown","neutral"
"Hola meyamo Manuel de Jesús Calzadilla necesito una cita",NA,"hola meyamo manuel de jesús calzadilla necesitar unir citar","unknown","positive"
"Yo vivo en mejicamos cual agencia meqdaria más Serca imegustaria viernes 27 de enero alas 3pm 2021 gracias ",NA,"yo vivir en mejicamos cual agenciar meqdaria más serca imegustaria viernes 27 de enero ala 3pm 2021 gracia","unknown","positive"
" Salvador del mundo estaría vien",NA,"salvador del mundo estar vien","unknown","positive"
"San salvador",NA,"santo salvador","unknown","positive"
"27 de 01 2021 hora 3 pm gracias",NA,"27 de 01 2021 hora 3 pm gracia","unknown","positive"
"Buenas tardes nesecito una cita en la agencia Metrocentro san Salvador",NA,"bueno tardar nesecito unir citar en el agenciar metrocentro santo salvador","unknown","positive"
"Buenos días quería hacer una cita para visitar la agencia de plaza mundo",NA,"bueno día querer hacer unir citar parar visitar el agenciar de plaza mundo","unknown","positive"
"AFP Crecer ya lo hice pero hasta marzo se tardan tanto tiempo?",NA,"afp crecer ya el hacer pero hasta marzo se tardar tanto tiempo ?","unknown","positive"
"Quiero solicitar lo del anticipo ya consulté al correo por q no me deja entrar.dice q ya estoy registrada pero luego dice q correo y contraseña invalida",NA,"querer solicitar el del anticipar ya consultar al correar por q no me dejar entrar.dice q ya estar registrar pero luego decir q correar y contraseña invalidar","unknown","negative"
"Necesito me ayuden por q no me grava la información  de la fecha y hora para hacer la cita necesito visitar",NA,"necesitar me ayudar por q no me gravar el información de el fechar y hora parar hacer el citar necesitar visitar","unknown","negative"
"Hola! Mi nombre es Tomasa del Carmen Moreira, Necesito cita en INPEP SECCIÓN Historial Laboral. Gracias!",NA,"hola ! mi nombrar ser tomasa del carmen moreira , necesitar citar en inpep sección historial laboral . gracia !","unknown","positive"
"Buenas tardes nesesito saber si ya aparese mi nombre completo   ya k use solisitud de cambio de información",NA,"bueno tardar nesesito saber si ya aparese mi nombrar completar ya k usar solisitud de cambiar de información","unknown","positive"
"AFP Crecer ",NA,"afp crecer","unknown","positive"
"AFP Crecer ",NA,"afp crecer","unknown","positive"
"Buenos días",NA,"bueno día","unknown","positive"
"Necesito que me ayuden a verificar si estoy inscrito con ustedes por favor.",NA,"necesitar que me ayudar a verificar si estar inscribir con vosotros por favor .","joy","positive"
"Como puedo hacer para tener cita para devolución que me dan cada año la agencia De Manuel Enrique Araujo gracias",NA,"comer poder hacer parar tener citar parar devolución que me dar cada año el agenciar de manuel enrique araujo gracia","unknown","positive"
"Necesito presentar una carta de Beneficiario! y Necesito llevar a mi abuela cómo beneficiario ha realizar su trámite! Pero no me da fechas el sistema! ? ",NA,"necesitar presentar unir carta de beneficiario ! y necesitar llevar a mi abuelo cómo beneficiario haber realizar su trámite ! pero no me dar fecha el sistema ! ?","unknown","negative"
"Ya probé todo enero, febrero y hasta marzo, dice no hay cupos. No atienden ningún teléfono, ya mandé 5 veces mi reporte de supervivencia, y no me han abonado. Que hago por favor",NA,"ya probar todo enero , febrero y hasta marzo , decir no haber cupo . no atender ninguno teléfono , ya mandar 5 vez mi reportar de supervivencia , y no me haber abonar . que hacer por favor","joy","negative"
"Hola",NA,"hola","unknown","positive"
"Número para ver estado cuenta",NA,"número parar ver estar contar","unknown","positive"
"info",NA,"info","unknown","positive"
"Que ruta de bus pasa por ahi",NA,"que ruta de bus pasar por ahi","unknown","positive"
"Porque tienen que restringir nuestro dinero ,es nuestro debemos poder retirarlo cuando queramos no importa la edad",NA,"porque tener que restringir nuestro dinero , ser nuestro deber poder retirarlo cuando querer no importar el edad","unknown","negative"
"Hola me pueden mandar el numero de teléfono que puedo marcarle gracias ",NA,"hola me poder mandar el numerar de teléfono que poder marcarle gracia","unknown","positive"
"Estamos a la espera de la norma o reglamento que enviará el banco Central de reserva para poder jubilarse. Dijeron que en 10 días cuando se consultó a, finales de noviembre 2020 y ya estamos en enero 2021 y nada?????",NA,"estar a el esperar de el norma o reglamentar que enviar el banco central de reservar parar poder jubilarse . decir que en 10 día cuando se consultar a , final de noviembre 2020 y ya estar en enero 2021 y nadar ? ? ? ? ?","joy","positive"
"Mande mi solicitud de anticipo de dinero en la aplicación cuanto tiempo tengo q esperar para q me resuelvan",NA,"mandar mi solicitud de anticipar de dinero en el aplicación cuanto tiempo tener q esperar parar q me resolver","joy","positive"
"En 15 días se lo dan",NA,"en 15 día se el dar","unknown","positive"
"Ni contesta en whatsapp cuando uno pide información para pedir cita",NA,"ni contestar en whatsapp cuando unir pedir información parar pedir citar","unknown","negative"
"AFP Crecer no se puede ",NA,"afp crecer no se poder","unknown","negative"
"AFP Crecer xq no contestan quiero hacer una consulta ",NA,"afp crecer xq no contestar querer hacer unir consultar","unknown","negative"
"AFP Crecer necesito una cita para poner de  beneficiario a mi hijo y a mi mamá ",NA,"afp crecer necesitar unir citar parar poner de beneficiario a mi hijo y a mi mamá","unknown","positive"
"He intentado en varias ocasiones crear mi cuenta para ingresar a la app y siempre dice que la contraseña no cumple con los standards. No sé que esperan para que la contraseña sea aceptada",NA,"haber intentar en vario ocasión crear mi contar parar ingresar a el app y siempre decir que el contraseña no cumplir con el standard . no saber que esperar parar que el contraseña ser aceptar","joy","negative"
"Claudia Melara una letra mayúscula, numeros y un símbolo. Como mínimo 8 caracteres.",NA,"claudia melar unir letra mayúsculo , numeros y uno símbolo . comer mínimo 8 carácter .","unknown","positive"
"Clara Hernandez oki",NA,"claro hernandez oki","unknown","positive"
"Yo desde el mes pasado quiero actualizar datos y no e podido",NA,"yo desde el mes pasar querer actualizar dato y no e poder","unknown","negative"
"Buenos díasPor correo mande lo q me pidieron y aún no contestan",NA,"bueno díaspor correar mandar el q me pedir y aun no contestar","unknown","negative"
"Como puede saber el correo que tengo regustrado y si lo puedo cambiar",NA,"comer poder saber el correar que tener regustrado y si el poder cambiar","unknown","positive"
"Buenos días, necesito una cita para reponer mi carnet (de carácter urgente), que debo hacer en ese caso?",NA,"bueno día , necesitar unir citar parar reponer mi carnet ( de carácter urgente ) , que deber hacer en ese casar ?","unknown","positive"
"Necesito reponer mi carnet. Donde están ubicados y como lo obtengo?",NA,"necesitar reponer mi carnet . donde estar ubicar y comer el obtener ?","surprise","positive"
"Buenas tardes mi esposo necesita reponer el carnet y el estado de cuenta que le mandaron al correo le hace falta empresas donde cotizo",NA,"bueno tardar mi esposar necesitar reponer el carnet y el estar de contar que le mandar al correar le hacer faltar empresa donde cotizar","unknown","positive"
"Muy buenos dias yo deseo un estado de cuenta dicen ustedes que vea el correo que ya me lo mandaron y no me aparece como me pudieran ayudar por favor.",NA,"muy bueno dias yo desear uno estar de contar decir vosotros que ver el correar que ya me el mandar y no me aparecer comer me poder ayudar por favor .","fear","negative"
"Bueno días quiero el estado de cuenta ",NA,"bueno día querer el estar de contar","unknown","positive"
"Necesito el estado de cuenta",NA,"necesitar el estar de contar","unknown","positive"
"Cómo puedo saber las fechas de deposito a pencionados",NA,"cómo poder saber el fecha de depositar a pencionados","unknown","positive"
"Hola necesito saber que tengo que hacer para empesar los tramites de pension",NA,"hola necesitar saber que tener que hacer parar empesar el tramitar de pension","unknown","positive"
"Estado de cuenta de Roberto Antonio Velasquez Arias",NA,"estar de contar de roberto antonio velasquez aria","unknown","positive"
"Yo necesito un estado de cuenta, pero no puedo actualizar datos, necesito cambiar el correo o número de teléfono pero no hay ningún opción. Por favor si me pueden ayudar",NA,"yo necesitar uno estar de contar , pero no poder actualizar dato , necesitar cambiar el correar o número de teléfono pero no haber ninguno opción . por favor si me poder ayudar","joy","negative"
"AFP Crecer no tengo el correo que agregue, no me recuerdo. Estoy tratando de agendar cita y no tienen disponibilidad en ninguna fecha. ",NA,"afp crecer no tener el correar que agregar , no me recordar . estar tratar de agendar citar y no tener disponibilidad en ninguno fechar .","unknown","negative"
"AFP Crecer por gusto con ustedes ",NA,"afp crecer por gustar con vosotros","unknown","positive"
"AFP Crecer muchas gracias.",NA,"afp crecer mucho gracia .","unknown","positive"
"Ana Maria Ordoñez",NA,"ana maria ordoñez","unknown","positive"
"se puede crear un usuario en linea aunque no haya registrado correo electronico con ustedes ? o como se puede hacer ",NA,"se poder crear uno usuario en linear aunque no haber registrar correar electronico con vosotros ? o comer se poder hacer","unknown","negative"
"Yo trato de visualizar y me dice que no existe y cuando quiero registrarme me dice que ya existo, no entiendo<U+0001F914><U+0001F914><U+0001F914>",NA,"yo tratar de visualizar y me decir que no existir y cuando querer registrarme me decir que ya existir , no entender <U+0001F914> <U+0001F914> <U+0001F914>","unknown","negative"
"AFP Crecer gracias",NA,"afp crecer gracia","unknown","positive"
"Yo no e podido registrarme por qué la contraseña me dice error no sé cómo lo puedo hacer o tengo que ir a una AFP crecer para solicitar el anticipo de saldo",NA,"yo no e poder registrarme por qué el contraseña me decir error no saber cómo el poder hacer o tener que ir a unir afp crecer parar solicitar el anticipar de saldar","unknown","negative"
"Descarga la App de afp crecer allí te pedirá que ingreses tu correo electrónico y contraseña y por medio puedes solicitar el anticipo sigue los pasos ojala le sirva esta información",NA,"descargar el app de afp crecer allí te pedir que ingresar tu correar electrónico y contraseña y por mediar poder solicitar el anticipar seguir el paso ojalar le servir este información","unknown","positive"
"Buenos Dias primeramente autualise sus datos para obtener una rrespuesta asi me paso ami  hasta q autualise mis datos m contestarón",NA,"bueno dias primeramente autualise su dato parar obtener unir rrespuesta asi me pasar ami hasta q autualise mi dato metro contestarón","surprise","positive"
"Se burlan del cotizan te ya que queremos actualizar datos y no se puede por el covid como hacemos en ese caso?",NA,"se burlar del cotizar te ya que querer actualizar dato y no se poder por el covid comer hacer en ese casar ?","unknown","negative"
"Quiero actualizar mis datos, y no me contestan por ningún medio",NA,"querer actualizar mi dato , y no me contestar por ninguno mediar","unknown","negative"
"Estoy pidiendo una cita en la agencia y aun estoy esperando me contesten el wassap",NA,"estar pedir unir citar en el agenciar y aun estar esperar me contestar el wassap","joy","positive"
"Por lo que veo somos bastante los afiliados que estamos con el problema que no nos atienden yo ya envié tres videos de constancia de sobrevivencia por vejez, la primera la envié el 18 de diciembre y dos más en este mes de enero y siempre me mandan el mismo mensaje computarizado, toda la información está en el video y fotos de Dui de los dos lados y siempre me mandan el mismo mensaje y ni siquiera han visto el video porque me dicen si ya pagó el empleador la última cuota  también he llamado por teléfono y una grabación es la que sale ",NA,"por el que ver ser bastante el afiliado que estar con el problema que no no atender yo ya enviar tres videos de constancia de sobrevivencia por vejez , el 1 el enviar el 18 de diciembre y do más en este mes de enero y siempre me mandar el mismo mensaje computarizado , todo el información estar en el video y foto de dui de el do lado y siempre me mandar el mismo mensaje y ni siquiera haber ver el video porque me decir si ya pagar el empleador el último cuota también haber llamar por teléfono y unir grabación ser el que salar","unknown","negative"
"No contestan por ningún medio. Ni teléfono ni correos. Nada. Nada. Como que limosna les va pedir uno. Solo quiero hacer una cita.",NA,"no contestar por ninguno mediar . ni teléfono ni correo . nadar . nadar . comer que limosna les ir pedir unir . solo querer hacer unir citar .","sadness","negative"
"Estoy pidiendo mi estado de cuenta y nadie contesta pésimo servicio <U+0001F620><U+0001F620><U+0001F620><U+0001F620>",NA,"estar pedir mi estar de contar y nadie contestar malo servicio <U+0001F620> <U+0001F620> <U+0001F620> <U+0001F620>","sadness","positive"
"PERDI MI TARGETA LLEVO DOA SEMANAS QUERIENDO QUE ME CONTESTEN Y NADA NECESITO MI NUMERO DEE NUP ....",NA,"perdi mi targeta llevar doa semana querer que me contestar y nadar necesitar mi numerar dee nup . . . .","unknown","positive"
"Patricia Beltran pregunta x acá talvez así te responden luego",NA,"patricio beltran preguntar x acá talvez asir te responder luego","unknown","positive"
"Es verdad no contestan así como uno hará la cita o saber halgo que tenga dudas",NA,"ser verdad no contestar asir comer unir hacer el citar o saber halgo que tener duda","joy","negative"
"DENTREN AGENDAR CITA AFP CRECER",NA,"dentren agendar citar afp crecer","unknown","positive"
"ESTA LA OPCION EN LOS DEPARTAMENTOS DONDE BAN A RETIRAR EL 25%",NA,"este el opcion en el departamento donde ban a retirar el 25 %","unknown","positive"
"Como puedo hacer para actualizar mis datos??",NA,"comer poder hacer parar actualizar mi dato ? ?","unknown","positive"
"AFP Crecer nunca contestan me urge los requisitos para que me den dinero de enfermedad terminal",NA,"afp crecer nunca contestar me urgir el requerir parar que me dar dinero de enfermedad terminal","unknown","positive"
"AFP Crecer yo quiero saber cono va mi tramitr de anticupo a sueldo nunca contestan en ningún. Medio ",NA,"afp crecer yo querer saber cono ir mi tramitr de anticupo a soldar nunca contestar en ninguno . mediar","unknown","positive"
"AFP Crecer yo quiero actualizar datos pero no responde WathsApp,ni correo electrónico y citas hay hasta el 17 de marzo",NA,"afp crecer yo querer actualizar dato pero no responder wathsapp , ni correar electrónico y cita haber hasta el 17 de marzo","unknown","negative"
"Hola quiero hacer una cita presencial lo mas pronto posible y no tengo correo",NA,"hola querer hacer unir citar presencial el mas pronto posible y no tener correar","unknown","negative"
"Como puedo hacer para q me puedan mandar un lik ami wasap el estado de cuenta de los últimos 6 meses por favor ",NA,"comer poder hacer parar q me poder mandar uno lik ami wasap el estar de contar de el último 6 mes por favor","joy","positive"
"Pero otra consulta el tramite es de mi esposo y por el momento no tiene teléfono y por medio de mi mail se podrá ",NA,"pero otro consultar el tramitar ser de mi esposar y por el momento no tener teléfono y por mediar de mi mail se poder","unknown","negative"
"Y para sacarle una cita ya q con el trabajo q posee es bien difícil ",NA,"y parar sacarle unir citar ya q con el trabajar q poseer ser bien difícil","joy","positive"
"Y sera q puede ir y le darán el estado ",NA,"y sera q poder ir y le dar el estar","unknown","positive"
"Yo made fotos de mi y mis hijos y un video y no an respondido  mande  la comprovacion de sobrevivencia  y solo ponen textos computarizados   no se si me daran el dinero  el 25 de este mes",NA,"yo made foto de mi y mi hijo y uno video y no an responder mandar el comprovacion de sobrevivencia y solo poner texto computarizados no se si me daran el dinero el 25 de este mes","unknown","negative"
"Ya mande lo q pidieron ojala puedan   ayudarme con mi comprobacion. GRACIAS",NA,"ya mandar el q pedir ojalar poder ayudarme con mi comprobacion . gracia","unknown","positive"
"Muchas gracias",NA,"mucho gracia","unknown","positive"
"Necesito hacer unas consultas,  pero el 2211 9393  no responde, no responden por WhatsApp y ayer intenté pasar a la agencia Alameda Araujo y ni me quise bajar de carro, pues desborda de gente en el sol y bajo un canopi",NA,"necesitar hacer unir consulta , pero el 2211 9393 no responder , no responder por whatsapp y ayer intentar pasar a el agenciar alameda araujo y ni me querer bajar de carro , pues desbordar de gente en el sol y bajar uno canopi","sadness","negative"
"Necesito una constancia de jubilación que necesito",NA,"necesitar unir constancia de jubilación que necesitar","unknown","positive"
"Buenas tardes igual que otras personas a mi no me han confirmado si el video que envié para comprobar mi sobrevivencia estaba correcto.",NA,"bueno tardar igual que otro persona a mi no me haber confirmar si el video que enviar parar comprobar mi sobrevivencia estar correcto .","unknown","negative"
"Me gustaría me mandaran mi estado de cuentas",NA,"me gustar me mandar mi estar de contar","unknown","positive"
"Hola buenos dias me podrian embiar mi estado de cuentas x favor",NA,"hola bueno dias me podrian embiar mi estar de contar x favor","joy","positive"
"Wendy Garcia mira",NA,"wendy garcia mirar","unknown","positive"
"Patricia Beltran , pregunta por aquí ",NA,"patricio beltran , preguntar por aquí","unknown","positive"
"Gracias <U+0001F64F>.  ",NA,"gracia <U+0001F64F> .","unknown","positive"
"Hola cómo puedo saber si estoy afiliada a esta AFP ???",NA,"hola cómo poder saber si estar afiliado a este afp ? ? ?","unknown","positive"
"Buenoa dias.. como puedo hacer para hacer el tramite desde casa",NA,"buenoa dias . . comer poder hacer parar hacer el tramitar desde casar","unknown","positive"
"Quiero ingresar para reportarme por sobrevivencia",NA,"querer ingresar parar reportarme por sobrevivencia","unknown","positive"
"www.crecer.gob.sv",NA,"www.crecer.gob.sv","unknown","positive"
"Quiero ingresar",NA,"querer ingresar","unknown","positive"
"Como puedo hacer para obtener cita para la bonificación del año",NA,"comer poder hacer parar obtener citar parar el bonificación del año","surprise","positive"
"si no tengo correo registrado con ustedes , como puede hacer? tengo que ir a la agencia para actualizar mis datos o como ?",NA,"si no tener correar registrar con vosotros , comer poder hacer ? tener que ir a el agenciar parar actualizar mi dato o comer ?","unknown","negative"
"Fecha de pago de pensión de mes de enero?",NA,"fechar de pagar de pensión de mes de enero ?","unknown","positive"
"Mi esposo está queriendo sacar sita y no puede ya llamo y ya puso mensaje en el WhatsApp y nada",NA,"mi esposar estar querer sacar sito y no poder ya llamar y ya poner mensaje en el whatsapp y nadar","unknown","negative"
"Me podrían responder en q bancos depositan los anticipos porfavor??",NA,"me poder responder en q banco depositar el anticipo porfavor ? ?","unknown","positive"
"AFP Crecer mil gracias",NA,"afp crecer mil gracia","unknown","positive"
"Buenos dias señores de AFP Crecer, les escribo para comunicarles que hace 5 dias yo ingrese a la web de la afp de anticipo de saldo, porque este año yo cubria los requisitos, y en la web me lo confirmaron, e ingrese mi dui y la constancia de mi cuenta del banco y cuando termino de hacer el proceso, me saca de la web, lo hice dos veces por si habia error y me paso lo mismo y espere respuesta en mi inbox que es alfrezel@outlook.es y no he recibido ninguna respuesta, escribi al wathsap y tampoco, mi NUP es el 254872870001, les agradeceria bastante si me pueden ayudar, muchas gracias",NA,"bueno dias señor de afp crecer , les escribir parar comunicarles que hacer 5 dias yo ingresar a el web de el afp de anticipar de saldar , porque este año yo cubria el requerir , y en el web me el confirmar , e ingresar mi dui y el constancia de mi contar del banco y cuando terminar de hacer el procesar , me sacar de el web , el hacer do vez por si habia error y me pasar el mismo y esperar respuesta en mi inbox que ser alfrezel @outlook . ser y no haber recibir ninguno respuesta , escribi al wathsap y tampoco , mi nup ser el 254872870001 , les agradeceria bastante si me poder ayudar , mucho gracia","joy","negative"
"Cumplo 49 el ptoximo 9 de febrero podria aplicar a diferencia que aun me falta un año para los 50",NA,"cumplir 49 el ptoximo 9 de febrero podria aplicar a diferenciar que aun me faltar uno año parar el 50","joy","positive"
