"text.X.U.FEFF.Comment","text.text_tokens","text.V3","emotion","polarity"
"Yo necesito saber cómo are pues ya en junio tengo que empezar a tramitar lo de mi pensión para el otro ano",NA,"yo necesitar saber cómo arar pues ya en junio tener que empezar a tramitar el de mi pensión parar el otro ano","unknown","positive"
"Quisiera mi estado de cuenta por favor",NA,"querer mi estar de contar por favor","joy","positive"
"Hola buenos días kiero saber mi estado de cuenta por favor ",NA,"hola bueno día kiero saber mi estar de contar por favor","joy","positive"
"Y para el adelanto del porcentaje como se hace, yo cumplo todos los requisitos",NA,"y parar el adelantar del porcentaje comer se hacer , yo cumplir todo el requerir","joy","positive"
"AFP CONFIA, como lo hago en linea?",NA,"afp confia , comer el hacer en linear ?","unknown","positive"
"AFP CONFIA, cuál?",NA,"afp confia , cuál ?","unknown","positive"
"E solicitado mi Estado de cuenta y dise que no me  encuentran registrada me disen que me atenderá un asesor  y de ahí no pasa, ya nadie me atiende, como hago?",NA,"e solicitar mi estar de contar y dise que no me encontrar registrar me disen que me atender uno asesor y de ahí no pasar , ya nadie me atender , comer hacer ?","unknown","positive"
"Gracias",NA,"gracia","unknown","positive"
"Buenas noches quiero aplicar al anticipo del 25% pero no me queda claro con respecto a que tengo que reintegrarlo antes de pensionarme,hay una cuota específica según el monto ?",NA,"bueno noche querer aplicar al anticipar del 25 % pero no me quedar claro con respectar a que tener que reintegrarlo antes de pensionarme , haber unir cuota específico según el montar ?","unknown","negative"
"Ya hice el anticipo,puedo hacer otro prestamo.",NA,"ya hacer el anticipar , poder hacer otro prestamo .","unknown","positive"
"AFP CONFIA hola buenos días quiero saber si yo puedo retirar algo de lo que tengo ahorrado ahí",NA,"afp confia hola bueno día querer saber si yo poder retirar algo de el que tener ahorrar ahí","unknown","positive"
"Requisitos para un anticipo",NA,"requerir parar uno anticipar","unknown","positive"
"Yo quiero qmeden un anticipo de loq tengo ahy",NA,"yo querer qmeden uno anticipar de loq tener ahy","unknown","positive"
"Qué requisitos son para obtener el anticipo de mis ahorros??",NA,"qué requerir ser parar obtener el anticipar de mi ahorro ? ?","surprise","positive"
"Hola  el padre de mis hijos falleció  en el 2017  y yo me acavo de enterar y no se si ellos tienen derecho a una pension ellos estan  pequeños",NA,"hola el padre de mi hijo fallecer en el 2017 y yo me acavo de enterar y no se si ellos tener derecho a unir pension ellos estan pequeño","unknown","negative"
"AFP CONFIA yo junio cumplo 54 y se supone que tengo que empezar hacer mi trámite de pensión",NA,"afp confia yo junio cumplir 54 y se suponer que tener que empezar hacer mi trámite de pensión","joy","positive"
"que diaz puedo visitar una agencia para haser los tramites de el anticipo",NA,"que diaz poder visitar unir agenciar parar haser el tramitar de el anticipar","unknown","positive"
"Cuántos años cotizados debo tener para un anticipo",NA,"cuánto año cotizar deber tener parar uno anticipar","unknown","positive"
"AFP CONFIA ",NA,"afp confia","unknown","positive"
"La verdad necesito mi estado de cuenta",NA,"el verdad necesitar mi estar de contar","joy","positive"
"De que edad se puede hacer el anticipo.",NA,"de que edad se poder hacer el anticipar .","unknown","positive"
"Y la Universidad de El Salvador",NA,"y el universidad de el salvador","unknown","positive"
"Un estado de cuenta quiero",NA,"uno estar de contar querer","unknown","positive"
"Necesito mi estado de cuenta, lo solicite hace una semana y no llega",NA,"necesitar mi estar de contar , el solicitar hacer unir semana y no llegar","unknown","negative"
"<U+0001D442><U+0001D459><U+0001D44E> <U+0001D461><U+0001D452><U+0001D45B><U+0001D454><U+0001D45C> 45 <U+0001D44E>ñ<U+0001D45C><U+0001D460> <U+0001D45D><U+0001D462><U+0001D452><U+0001D451><U+0001D45C> <U+0001D45F><U+0001D452><U+0001D461><U+0001D456><U+0001D45F><U+0001D44E><U+0001D45F> <U+0001D452><U+0001D460><U+0001D452> 25% <U+0001D451><U+0001D452> <U+0001D45A><U+0001D456> <U+0001D450><U+0001D462><U+0001D452><U+0001D45B><U+0001D461><U+0001D44E>? <U+0001D436><U+0001D45C><U+0001D45B><U+0001D461><U+0001D452><U+0001D460><U+0001D461><U+0001D452><U+0001D45B><U+0001D45A><U+0001D452> <U+0001D45D><U+0001D45C><U+0001D45F> <U+0001D453><U+0001D44E><U+0001D463><U+0001D45C><U+0001D45F> <U+0001D466> <U+0001D45E><U+0001D462><U+0001D452> <U+0001D461><U+0001D452><U+0001D45B><U+0001D454><U+0001D45C> <U+0001D464><U+0001D462><U+0001D452> h<U+0001D44E><U+0001D450><U+0001D452><U+0001D45F>. <U+0001D434><U+0001D439><U+0001D443> <U+0001D436><U+0001D442><U+0001D441><U+0001D439><U+0001D43C><U+0001D434>",NA,"<U+0001D442><U+0001D459><U+0001D44E> <U+0001D461><U+0001D452><U+0001D45B><U+0001D454><U+0001D45C> 45 <U+0001D44E>ñ<U+0001D45C><U+0001D460> <U+0001D45D><U+0001D462><U+0001D452><U+0001D451><U+0001D45C> <U+0001D45F><U+0001D452><U+0001D461><U+0001D456><U+0001D45F><U+0001D44E><U+0001D45F> <U+0001D452><U+0001D460><U+0001D452> 25 % <U+0001D451><U+0001D452> <U+0001D45A><U+0001D456> <U+0001D450><U+0001D462><U+0001D452><U+0001D45B><U+0001D461><U+0001D44E> ? <U+0001D436><U+0001D45C><U+0001D45B><U+0001D461><U+0001D452><U+0001D460><U+0001D461><U+0001D452><U+0001D45B><U+0001D45A><U+0001D452> <U+0001D45D><U+0001D45C><U+0001D45F> <U+0001D453><U+0001D44E><U+0001D463><U+0001D45C><U+0001D45F> <U+0001D466> <U+0001D45E><U+0001D462><U+0001D452> <U+0001D461><U+0001D452><U+0001D45B><U+0001D454><U+0001D45C> <U+0001D464><U+0001D462><U+0001D452> h<U+0001D44E><U+0001D450><U+0001D452><U+0001D45F> . <U+0001D434><U+0001D439><U+0001D443> <U+0001D436><U+0001D442><U+0001D441><U+0001D439><U+0001D43C><U+0001D434>","unknown","positive"
" Como hago para retirar mi anticipo, cuales son los requicitos",NA,"comer hacer parar retirar mi anticipar , cual ser el requicitos","unknown","positive"
"Buenas noches quisiera saber si puedo hacer un anticipo",NA,"bueno noche querer saber si poder hacer uno anticipar","unknown","positive"
"Que necesito para obtener un anticipo",NA,"que necesitar parar obtener uno anticipar","surprise","positive"
"Necesito información dela gestión de anticipo del 25 por ciento ya la hice quiero saber cómo va el trámite",NA,"necesitar información dela gestión de anticipar del 25 por ciento ya el hacer querer saber cómo ir el trámite","unknown","positive"
"hola quisiera saber si puedo hacer el tramite para un anticipo",NA,"hola querer saber si poder hacer el tramitar parar uno anticipar","unknown","positive"
"Con cuantos años puedo retirar un porsentaje",NA,"con cuanto año poder retirar uno porsentaje","unknown","positive"
"Cuantos años de edad y cotizados para pedir anticipo.",NA,"cuanto año de edad y cotizar parar pedir anticipar .","unknown","positive"
"Pregunto puedo pedir un anticipo aunque no tenga el tiempo que exije la afp",NA,"preguntar poder pedir uno anticipar aunque no tener el tiempo que exije el afp","unknown","negative"
"Disculpe en el caso de mí hijo,cumplió 18 años en noviembre,desde ese mes no a recibido pensión,y está estudiando en este año ara,empezará el bachillerato...quisiera me pudieran ayudar con la información porfavor....o q tengo q hacer para q se la den..",NA,"disculpar en el casar de mí hijo , cumplir 18 año en noviembre , desde ese mes no a recibir pensión , y estar estudiar en este año arar , empezar el bachillerato . . . querer me poder ayudar con el información porfavor . . . . o q tener q hacer parar q se el dar . .","joy","negative"
"Gracias por la información,veré si se puede con esa opción q me brindo...",NA,"gracia por el información , ver si se poder con ese opción q me brindar . . .","unknown","positive"
"AFP CONFIA Hola buenas como puedo hacer un prestamo",NA,"afp confia hola bueno comer poder hacer uno prestamo","unknown","positive"
"Buenos dias me pueden decir si una persona q saco anticipo puede jubilarse y no devolver el anticipo?",NA,"bueno dias me poder decir si unir personar q sacar anticipar poder jubilarse y no devolver el anticipar ?","unknown","negative"
" Yo mety documentación nose cuando merresponderan",NA,"yo mety documentación nose cuando merresponderan","unknown","positive"
"Muy buenos días cómo puedo solicitar un estado laboral",NA,"muy bueno día cómo poder solicitar uno estar laboral","fear","positive"
"Quiero saber si ya depositaron la pensión de enero",NA,"querer saber si ya depositar el pensión de enero","unknown","positive"
"Cómo poder saber el estado de cuenta de mi AFP",NA,"cómo poder saber el estar de contar de mi afp","unknown","positive"
"Como obtener una sita para antisipo de ahorros",NA,"comer obtener unir sito parar antisipo de ahorro","surprise","positive"
"Como puedo para anticipo",NA,"comer poder parar anticipar","unknown","positive"
"Soy pensionada y necesito una resolución y una constancia para presentarla en banco. Como puedo hacerlo ??",NA,"ser pensionado y necesitar unir resolución y unir constancia parar presentarla en banco . comer poder hacerlo ? ?","unknown","positive"
"Hola buenas tardes quisiera consultar sobre el 25% de saldo que están dando yo en abril cumplo 50 años no sé si aplicó en abril en delante o puedo llenar solicitudes ya",NA,"hola bueno tardar querer consultar sobrar el 25 % de saldar que estar dar yo en abril cumplir 50 año no saber si aplicar en abril en delante o poder llenar solicitud ya","joy","negative"
"Ok",NA,"ok","unknown","positive"
"Porq se llena el formulario del anticipo y no se puede enviar??? Gracias espero su respuesta",NA,"porq se llenar el formulario del anticipar y no se poder enviar ? ? ? gracia esperar su respuesta","joy","negative"
"AFP CONFIA ",NA,"afp confia","unknown","positive"
"Buenos días yo quisiera saber  mí estado de cuenta",NA,"bueno día yo querer saber mí estar de contar","unknown","positive"
"Quisiera solicitar mi estado de cuenta",NA,"querer solicitar mi estar de contar","unknown","positive"
"Buenas necesito tramitar mi antisipo de ahorro este año cumplo 50 como puedo haser",NA,"bueno necesitar tramitar mi antisipo de ahorrar este año cumplir 50 comer poder haser","joy","positive"
"AFP CONFIA yo hize trámite pero no dió nada de algo  que ya hice el trámite como se que ya lo hice",NA,"afp confia yo hize trámite pero no dió nadar de algo que ya hacer el trámite comer se que ya el hacer","unknown","negative"
"Hola yo quiero saber sobre mi descuento de los últimos 6 meses como hacer por q el número q tiene no contestan",NA,"hola yo querer saber sobrar mi descontar de el último 6 mes comer hacer por q el número q tener no contestar","unknown","negative"
"    Tengo un préstamo en Davivienda no lo pago desde 2 años hoy por la mañana me habló un empleado de ellos que sí no pago me van a descontar de mi pensión quiero saber si pueden hacerlo quisiera saber si me pueden ayudar o explicar",NA,"tener uno préstamo en davivienda no el pagar desde 2 año hoy por el mañana me hablar uno emplear de ellos que sí no pagar me ir a descontar de mi pensión querer saber si poder hacerlo querer saber si me poder ayudar o explicar","unknown","negative"
"yo quiero firmar sobrevivencia y llamo al telefono que aparese y no contesta",NA,"yo querer firmar sobrevivencia y llamar al telefono que aparese y no contestar","unknown","negative"
"En q fecha(s) del año hay q hacer la prueba de sobrevivencia?",NA,"en q fechar ( segundo ) del año haber q hacer el probar de sobrevivencia ?","unknown","positive"
"Cómo puedo aser para que me envíen mi estado de cuenta",NA,"cómo poder aser parar que me enviar mi estar de contar","unknown","positive"
"Regalarme información  de proyecta5plus ",NA,"regalarme información de proyecta5plus","unknown","positive"
"Yo quiero retirar todos mis ahorros, tengo el tiempo cotizado y me faltan 2 años para cumplir con la edad, estoy desempleada y nadie le da trabajo a personas adultas, por muchos conocimientos y experiencia que posea, por más que apliques a una plaza no te toman en cuenta.Como vas a sobrevivir sin ingresos?",NA,"yo querer retirar todo mi ahorro , tener el tiempo cotizar y me faltar 2 año parar cumplir con el edad , estar desempleado y nadie le dar trabajar a persona adulto , por mucho conocimiento y experiencia que poseer , por más que aplicar a unir plaza no te tomar en cuenta.como ir a sobrevivir sin ingreso ?","joy","negative"
"Hola quisiera que una síta para que me den sis ahorros o al menos una parte",NA,"hola querer que unir síta parar que me dar si ahorro o al menos unir partir","unknown","positive"
"Información xfavor",NA,"información xfavor","unknown","positive"
"Cuando depositaran",NA,"cuando depositar","unknown","positive"
"Buenos dias para obtener mi estado de cuenta que debo.aser",NA,"bueno dias parar obtener mi estar de contar que debo.aser","surprise","positive"
"AFP CONFIA gracias ",NA,"afp confia gracia","unknown","positive"
"Quiero hacer una cita presencial",NA,"querer hacer unir citar presencial","unknown","positive"
"Quiero aser una cita precensial porfavor",NA,"querer aser unir citar precensial porfavor","unknown","positive"
"Una persona que se a afiliado pero no a retirado su carnet como puede hacer para obtenerlo",NA,"unir personar que se a afiliar pero no a retirar su carnet comer poder hacer parar obtenerlo","unknown","negative"
"Gracias ",NA,"gracia","unknown","positive"
"Hola me pueden dar un estado de cuenta por fa",NA,"hola me poder dar uno estar de contar por fa","unknown","positive"
"Tienen algún problema en la plataforma de empresas, ya que quiero sacar un solvencia y no me aparece ni siquiera el portal de empresas... Me pueden ayudar por favor?",NA,"tener alguno problema en el plataforma de empresa , ya que querer sacar uno solvencia y no me aparecer ni siquiera el portal de empresa . . . me poder ayudar por favor ?","joy","negative"
"AFP CONFIA Mil gracias en estos momentos chequeo",NA,"afp confia mil gracia en este momento chequeo","unknown","positive"
"Lo logré, ya saque la solvencia de mi empresa... Mil gracias!!! ",NA,"el lograr , ya sacar el solvencia de mi empresa . . . mil gracia ! ! !","unknown","positive"
"Cuando ban abrir la AFP q esta aquí en metrocentro sonsonate",NA,"cuando ban abrir el afp q este aquí en metrocentro sonsonate","unknown","positive"
"AFP CONFIA quisiera saber el estado de cuenta de todos los meses cotizados mando mensajes por messinger pero solo me manda detallado solo de 6 meses y yo quiero saber de todos los meses cotizados",NA,"afp confia querer saber el estar de contar de todo el mes cotizar mandar mensaje por messinger pero solo me mandar detallar solo de 6 mes y yo querer saber de todo el mes cotizar","unknown","positive"
"AFP CONFIA ok",NA,"afp confia ok","unknown","positive"
"Ola ",NA,"ola","unknown","positive"
"Nesecito un estado de cuenta",NA,"nesecito uno estar de contar","unknown","positive"
"Estan atendiendo en agenvia soyapango?",NA,"estan atender en agenvia soyapango ?","unknown","positive"
"AFP CONFIA yo quiero firmar sobrevivencia.y estuve llamando por teléfono y no contestan. Para hacer cita.",NA,"afp confia yo querer firmar sobrevivencia.y estar llamar por teléfono y no contestar . parar hacer citar .","unknown","negative"
"Hola buenas noches, mi mamá necesita programar una cita pero los servicios que aparecen en la página web no es ninguno al que ella aplica en ese caso como debe hacer ella?",NA,"hola bueno noche , mi mamá necesitar programar unir citar pero el servicio que aparecer en el página web no ser ninguno al que él aplicar en ese casar comer deber hacer él ?","unknown","negative"
"Hola buen día,disculpe yo necesito un estado de cuenta",NA,"hola bueno día , disculpar yo necesitar uno estar de contar","unknown","positive"
"AFP CONFIA ya les mande mi correo y no lo mandan",NA,"afp confia ya les mandar mi correar y no el mandar","unknown","negative"
"AFP CONFIA tardan un mundo para contestar",NA,"afp confia tardar uno mundo parar contestar","unknown","positive"
"Hola buenos días deseó un estado de cuenta",NA,"hola bueno día desear uno estar de contar","unknown","positive"
