"X.U.FEFF.Comment","text_tokens","V3"
"Estoy tramitando mi pension ,ya asisti a la cita de afp crecer y al inpep teniendo ambos historiales laborales  , estoy solicitando cita para presentar la documentacio y seguir mi proceso pero no corresponden ,me dejan en visto nada mas ."," ","estar tramitar mi pension , ya asisti a el citar de afp crecer y al inpep tener ambos historial laboral , estar solicitar citar parar presentar el documentacio y seguir mi procesar pero no corresponder , me dejar en ver nadar mas ."
"Necesito visitarles para retirar mis ahorros de 17 años Y cancelar descuentos xq se van hacer los locos de aquí a 5 años más..."," ","necesitar visitarles parar retirar mi ahorro de 17 año y cancelar descuento xq se ir hacer el loco de aquí a 5 año más . . ."
"Necesito un estado de cuenta del ultimo año osea de un año"," ","necesitar uno estar de contar del ultimar año osea de uno año"
"AFP Crecer gracias "," ","afp crecer gracia"
"una pregunta cómo se puede ir a dejar unas constancia de colegio"," ","unir preguntar cómo se poder ir a dejar unir constancia de colegiar"
"qué requisitos se necesita para que no me vaya a bloquear mi cuenta sobrevivencia"," ","qué requerir se necesitar parar que no me ir a bloquear mi contar sobrevivencia"
"AFP Crecer todos los años hay que presentar la constancia de estudios??Ya la presente una vez el año pasado "," ","afp crecer todo el año haber que presentar el constancia de estudio ? ? ya el presentar unir vez el año pasar"
"Buenas tardes, yo hice  mi trámite de sobrevivencia a través de reconocimiento de voz, el asesor me dijo que se había hecho  bien y me dijo que me enviarían por correo la confirmación, pero ya pasó una semana y no he recibido el correo"," ","bueno tardar , yo hacer mi trámite de sobrevivencia a través de reconocimiento de voz , el asesor me decir que se haber hacer bien y me decir que me enviar por correar el confirmación , pero ya pasar unir semana y no haber recibir el correar"
"AFP Crecer gracias"," ","afp crecer gracia"
"Bit/y/cita en crecer Metrocentro  martes 19 alas 2 ,p,m"," ","bit / y / citar en crecer metrocentro martes 19 ala 2 , página , metro"
"Yo quiciara  saber mi estado de cuenta como ago"," ","yo quiciara saber mi estar de contar comer ago"
"AFP Crecer ok gracias"," ","afp crecer ok gracia"
"Quiero una cita "," ","querer unir citar"
"Yo necesito que me respondan cuánto tiempo debo esperar después de haber ingresado la solicitud de anticipo de pensión, la ingresé el 07 de enero y ese mismo día me dijeron que calificaba y que estaba aprobado, entonces cuando me responderán?"," ","yo necesitar que me responder cuánto tiempo deber esperar después de haber ingresar el solicitud de anticipar de pensión , el ingresar el 07 de enero y ese mismo día me decir que calificar y que estar aprobar , entonces cuando me responder ?"
"Gracias por responder"," ","gracia por responder"
"Número de teléfono pongan avemos muchas personas que no sabemos mucho de inter"," ","número de teléfono poner avemos mucho persona que no saber mucho de inter"
"Hola meyamo Manuel de Jesús Calzadilla necesito una cita"," ","hola meyamo manuel de jesús calzadilla necesitar unir citar"
"Yo vivo en mejicamos cual agencia meqdaria más Serca imegustaria viernes 27 de enero alas 3pm 2021 gracias "," ","yo vivir en mejicamos cual agenciar meqdaria más serca imegustaria viernes 27 de enero ala 3pm 2021 gracia"
" Salvador del mundo estaría vien"," ","salvador del mundo estar vien"
"San salvador"," ","santo salvador"
"27 de 01 2021 hora 3 pm gracias"," ","27 de 01 2021 hora 3 pm gracia"
"Buenas tardes nesecito una cita en la agencia Metrocentro san Salvador"," ","bueno tardar nesecito unir citar en el agenciar metrocentro santo salvador"
"Buenos días quería hacer una cita para visitar la agencia de plaza mundo"," ","bueno día querer hacer unir citar parar visitar el agenciar de plaza mundo"
"AFP Crecer ya lo hice pero hasta marzo se tardan tanto tiempo?"," ","afp crecer ya el hacer pero hasta marzo se tardar tanto tiempo ?"
"Quiero solicitar lo del anticipo ya consulté al correo por q no me deja entrar.dice q ya estoy registrada pero luego dice q correo y contraseña invalida"," ","querer solicitar el del anticipar ya consultar al correar por q no me dejar entrar.dice q ya estar registrar pero luego decir q correar y contraseña invalidar"
"Necesito me ayuden por q no me grava la información  de la fecha y hora para hacer la cita necesito visitar"," ","necesitar me ayudar por q no me gravar el información de el fechar y hora parar hacer el citar necesitar visitar"
"Hola! Mi nombre es Tomasa del Carmen Moreira, Necesito cita en INPEP SECCIÓN Historial Laboral. Gracias!"," ","hola ! mi nombrar ser tomasa del carmen moreira , necesitar citar en inpep sección historial laboral . gracia !"
"Buenas tardes nesesito saber si ya aparese mi nombre completo   ya k use solisitud de cambio de información"," ","bueno tardar nesesito saber si ya aparese mi nombrar completar ya k usar solisitud de cambiar de información"
"AFP Crecer "," ","afp crecer"
"AFP Crecer "," ","afp crecer"
"Buenos días"," ","bueno día"
"Necesito que me ayuden a verificar si estoy inscrito con ustedes por favor."," ","necesitar que me ayudar a verificar si estar inscribir con vosotros por favor ."
"Como puedo hacer para tener cita para devolución que me dan cada año la agencia De Manuel Enrique Araujo gracias"," ","comer poder hacer parar tener citar parar devolución que me dar cada año el agenciar de manuel enrique araujo gracia"
"Necesito presentar una carta de Beneficiario! y Necesito llevar a mi abuela cómo beneficiario ha realizar su trámite! Pero no me da fechas el sistema! ? "," ","necesitar presentar unir carta de beneficiario ! y necesitar llevar a mi abuelo cómo beneficiario haber realizar su trámite ! pero no me dar fecha el sistema ! ?"
"Ya probé todo enero, febrero y hasta marzo, dice no hay cupos. No atienden ningún teléfono, ya mandé 5 veces mi reporte de supervivencia, y no me han abonado. Que hago por favor"," ","ya probar todo enero , febrero y hasta marzo , decir no haber cupo . no atender ninguno teléfono , ya mandar 5 vez mi reportar de supervivencia , y no me haber abonar . que hacer por favor"
"Hola"," ","hola"
"Número para ver estado cuenta"," ","número parar ver estar contar"
"info"," ","info"
"Que ruta de bus pasa por ahi"," ","que ruta de bus pasar por ahi"
"Porque tienen que restringir nuestro dinero ,es nuestro debemos poder retirarlo cuando queramos no importa la edad"," ","porque tener que restringir nuestro dinero , ser nuestro deber poder retirarlo cuando querer no importar el edad"
"Hola me pueden mandar el numero de teléfono que puedo marcarle gracias "," ","hola me poder mandar el numerar de teléfono que poder marcarle gracia"
"Estamos a la espera de la norma o reglamento que enviará el banco Central de reserva para poder jubilarse. Dijeron que en 10 días cuando se consultó a, finales de noviembre 2020 y ya estamos en enero 2021 y nada?????"," ","estar a el esperar de el norma o reglamentar que enviar el banco central de reservar parar poder jubilarse . decir que en 10 día cuando se consultar a , final de noviembre 2020 y ya estar en enero 2021 y nadar ? ? ? ? ?"
"Mande mi solicitud de anticipo de dinero en la aplicación cuanto tiempo tengo q esperar para q me resuelvan"," ","mandar mi solicitud de anticipar de dinero en el aplicación cuanto tiempo tener q esperar parar q me resolver"
"En 15 días se lo dan"," ","en 15 día se el dar"
"Ni contesta en whatsapp cuando uno pide información para pedir cita"," ","ni contestar en whatsapp cuando unir pedir información parar pedir citar"
"AFP Crecer no se puede "," ","afp crecer no se poder"
"AFP Crecer xq no contestan quiero hacer una consulta "," ","afp crecer xq no contestar querer hacer unir consultar"
"AFP Crecer necesito una cita para poner de  beneficiario a mi hijo y a mi mamá "," ","afp crecer necesitar unir citar parar poner de beneficiario a mi hijo y a mi mamá"
"He intentado en varias ocasiones crear mi cuenta para ingresar a la app y siempre dice que la contraseña no cumple con los standards. No sé que esperan para que la contraseña sea aceptada"," ","haber intentar en vario ocasión crear mi contar parar ingresar a el app y siempre decir que el contraseña no cumplir con el standard . no saber que esperar parar que el contraseña ser aceptar"
"Claudia Melara una letra mayúscula, numeros y un símbolo. Como mínimo 8 caracteres."," ","claudia melar unir letra mayúsculo , numeros y uno símbolo . comer mínimo 8 carácter ."
"Clara Hernandez oki"," ","claro hernandez oki"
"Yo desde el mes pasado quiero actualizar datos y no e podido"," ","yo desde el mes pasar querer actualizar dato y no e poder"
"Buenos díasPor correo mande lo q me pidieron y aún no contestan"," ","bueno díaspor correar mandar el q me pedir y aun no contestar"
"Como puede saber el correo que tengo regustrado y si lo puedo cambiar"," ","comer poder saber el correar que tener regustrado y si el poder cambiar"
"Buenos días, necesito una cita para reponer mi carnet (de carácter urgente), que debo hacer en ese caso?"," ","bueno día , necesitar unir citar parar reponer mi carnet ( de carácter urgente ) , que deber hacer en ese casar ?"
"Necesito reponer mi carnet. Donde están ubicados y como lo obtengo?"," ","necesitar reponer mi carnet . donde estar ubicar y comer el obtener ?"
"Buenas tardes mi esposo necesita reponer el carnet y el estado de cuenta que le mandaron al correo le hace falta empresas donde cotizo"," ","bueno tardar mi esposar necesitar reponer el carnet y el estar de contar que le mandar al correar le hacer faltar empresa donde cotizar"
"Muy buenos dias yo deseo un estado de cuenta dicen ustedes que vea el correo que ya me lo mandaron y no me aparece como me pudieran ayudar por favor."," ","muy bueno dias yo desear uno estar de contar decir vosotros que ver el correar que ya me el mandar y no me aparecer comer me poder ayudar por favor ."
"Bueno días quiero el estado de cuenta "," ","bueno día querer el estar de contar"
"Necesito el estado de cuenta"," ","necesitar el estar de contar"
"Cómo puedo saber las fechas de deposito a pencionados"," ","cómo poder saber el fecha de depositar a pencionados"
"Hola necesito saber que tengo que hacer para empesar los tramites de pension"," ","hola necesitar saber que tener que hacer parar empesar el tramitar de pension"
"Estado de cuenta de Roberto Antonio Velasquez Arias"," ","estar de contar de roberto antonio velasquez aria"
"Yo necesito un estado de cuenta, pero no puedo actualizar datos, necesito cambiar el correo o número de teléfono pero no hay ningún opción. Por favor si me pueden ayudar"," ","yo necesitar uno estar de contar , pero no poder actualizar dato , necesitar cambiar el correar o número de teléfono pero no haber ninguno opción . por favor si me poder ayudar"
"AFP Crecer no tengo el correo que agregue, no me recuerdo. Estoy tratando de agendar cita y no tienen disponibilidad en ninguna fecha. "," ","afp crecer no tener el correar que agregar , no me recordar . estar tratar de agendar citar y no tener disponibilidad en ninguno fechar ."
"AFP Crecer por gusto con ustedes "," ","afp crecer por gustar con vosotros"
"AFP Crecer muchas gracias."," ","afp crecer mucho gracia ."
"Ana Maria Ordoñez"," ","ana maria ordoñez"
"se puede crear un usuario en linea aunque no haya registrado correo electronico con ustedes ? o como se puede hacer "," ","se poder crear uno usuario en linear aunque no haber registrar correar electronico con vosotros ? o comer se poder hacer"
"Yo trato de visualizar y me dice que no existe y cuando quiero registrarme me dice que ya existo, no entiendo<U+0001F914><U+0001F914><U+0001F914>"," ","yo tratar de visualizar y me decir que no existir y cuando querer registrarme me decir que ya existir , no entender <U+0001F914> <U+0001F914> <U+0001F914>"
"AFP Crecer gracias"," ","afp crecer gracia"
"Yo no e podido registrarme por qué la contraseña me dice error no sé cómo lo puedo hacer o tengo que ir a una AFP crecer para solicitar el anticipo de saldo"," ","yo no e poder registrarme por qué el contraseña me decir error no saber cómo el poder hacer o tener que ir a unir afp crecer parar solicitar el anticipar de saldar"
"Descarga la App de afp crecer allí te pedirá que ingreses tu correo electrónico y contraseña y por medio puedes solicitar el anticipo sigue los pasos ojala le sirva esta información"," ","descargar el app de afp crecer allí te pedir que ingresar tu correar electrónico y contraseña y por mediar poder solicitar el anticipar seguir el paso ojalar le servir este información"
"Buenos Dias primeramente autualise sus datos para obtener una rrespuesta asi me paso ami  hasta q autualise mis datos m contestarón"," ","bueno dias primeramente autualise su dato parar obtener unir rrespuesta asi me pasar ami hasta q autualise mi dato metro contestarón"
"Se burlan del cotizan te ya que queremos actualizar datos y no se puede por el covid como hacemos en ese caso?"," ","se burlar del cotizar te ya que querer actualizar dato y no se poder por el covid comer hacer en ese casar ?"
"Quiero actualizar mis datos, y no me contestan por ningún medio"," ","querer actualizar mi dato , y no me contestar por ninguno mediar"
"Estoy pidiendo una cita en la agencia y aun estoy esperando me contesten el wassap"," ","estar pedir unir citar en el agenciar y aun estar esperar me contestar el wassap"
"Por lo que veo somos bastante los afiliados que estamos con el problema que no nos atienden yo ya envié tres videos de constancia de sobrevivencia por vejez, la primera la envié el 18 de diciembre y dos más en este mes de enero y siempre me mandan el mismo mensaje computarizado, toda la información está en el video y fotos de Dui de los dos lados y siempre me mandan el mismo mensaje y ni siquiera han visto el video porque me dicen si ya pagó el empleador la última cuota  también he llamado por teléfono y una grabación es la que sale "," ","por el que ver ser bastante el afiliado que estar con el problema que no no atender yo ya enviar tres videos de constancia de sobrevivencia por vejez , el 1 el enviar el 18 de diciembre y do más en este mes de enero y siempre me mandar el mismo mensaje computarizado , todo el información estar en el video y foto de dui de el do lado y siempre me mandar el mismo mensaje y ni siquiera haber ver el video porque me decir si ya pagar el empleador el último cuota también haber llamar por teléfono y unir grabación ser el que salar"
"No contestan por ningún medio. Ni teléfono ni correos. Nada. Nada. Como que limosna les va pedir uno. Solo quiero hacer una cita."," ","no contestar por ninguno mediar . ni teléfono ni correo . nadar . nadar . comer que limosna les ir pedir unir . solo querer hacer unir citar ."
"Estoy pidiendo mi estado de cuenta y nadie contesta pésimo servicio <U+0001F620><U+0001F620><U+0001F620><U+0001F620>"," ","estar pedir mi estar de contar y nadie contestar malo servicio <U+0001F620> <U+0001F620> <U+0001F620> <U+0001F620>"
"PERDI MI TARGETA LLEVO DOA SEMANAS QUERIENDO QUE ME CONTESTEN Y NADA NECESITO MI NUMERO DEE NUP ...."," ","perdi mi targeta llevar doa semana querer que me contestar y nadar necesitar mi numerar dee nup . . . ."
"Patricia Beltran pregunta x acá talvez así te responden luego"," ","patricio beltran preguntar x acá talvez asir te responder luego"
"Es verdad no contestan así como uno hará la cita o saber halgo que tenga dudas"," ","ser verdad no contestar asir comer unir hacer el citar o saber halgo que tener duda"
"DENTREN AGENDAR CITA AFP CRECER"," ","dentren agendar citar afp crecer"
"ESTA LA OPCION EN LOS DEPARTAMENTOS DONDE BAN A RETIRAR EL 25%"," ","este el opcion en el departamento donde ban a retirar el 25 %"
"Como puedo hacer para actualizar mis datos??"," ","comer poder hacer parar actualizar mi dato ? ?"
"AFP Crecer nunca contestan me urge los requisitos para que me den dinero de enfermedad terminal"," ","afp crecer nunca contestar me urgir el requerir parar que me dar dinero de enfermedad terminal"
"AFP Crecer yo quiero saber cono va mi tramitr de anticupo a sueldo nunca contestan en ningún. Medio "," ","afp crecer yo querer saber cono ir mi tramitr de anticupo a soldar nunca contestar en ninguno . mediar"
"AFP Crecer yo quiero actualizar datos pero no responde WathsApp,ni correo electrónico y citas hay hasta el 17 de marzo"," ","afp crecer yo querer actualizar dato pero no responder wathsapp , ni correar electrónico y cita haber hasta el 17 de marzo"
"Hola quiero hacer una cita presencial lo mas pronto posible y no tengo correo"," ","hola querer hacer unir citar presencial el mas pronto posible y no tener correar"
"Como puedo hacer para q me puedan mandar un lik ami wasap el estado de cuenta de los últimos 6 meses por favor "," ","comer poder hacer parar q me poder mandar uno lik ami wasap el estar de contar de el último 6 mes por favor"
"Pero otra consulta el tramite es de mi esposo y por el momento no tiene teléfono y por medio de mi mail se podrá "," ","pero otro consultar el tramitar ser de mi esposar y por el momento no tener teléfono y por mediar de mi mail se poder"
"Y para sacarle una cita ya q con el trabajo q posee es bien difícil "," ","y parar sacarle unir citar ya q con el trabajar q poseer ser bien difícil"
"Y sera q puede ir y le darán el estado "," ","y sera q poder ir y le dar el estar"
"Yo made fotos de mi y mis hijos y un video y no an respondido  mande  la comprovacion de sobrevivencia  y solo ponen textos computarizados   no se si me daran el dinero  el 25 de este mes"," ","yo made foto de mi y mi hijo y uno video y no an responder mandar el comprovacion de sobrevivencia y solo poner texto computarizados no se si me daran el dinero el 25 de este mes"
"Ya mande lo q pidieron ojala puedan   ayudarme con mi comprobacion. GRACIAS"," ","ya mandar el q pedir ojalar poder ayudarme con mi comprobacion . gracia"
"Muchas gracias"," ","mucho gracia"
"Necesito hacer unas consultas,  pero el 2211 9393  no responde, no responden por WhatsApp y ayer intenté pasar a la agencia Alameda Araujo y ni me quise bajar de carro, pues desborda de gente en el sol y bajo un canopi"," ","necesitar hacer unir consulta , pero el 2211 9393 no responder , no responder por whatsapp y ayer intentar pasar a el agenciar alameda araujo y ni me querer bajar de carro , pues desbordar de gente en el sol y bajar uno canopi"
"Necesito una constancia de jubilación que necesito"," ","necesitar unir constancia de jubilación que necesitar"
"Buenas tardes igual que otras personas a mi no me han confirmado si el video que envié para comprobar mi sobrevivencia estaba correcto."," ","bueno tardar igual que otro persona a mi no me haber confirmar si el video que enviar parar comprobar mi sobrevivencia estar correcto ."
"Me gustaría me mandaran mi estado de cuentas"," ","me gustar me mandar mi estar de contar"
"Hola buenos dias me podrian embiar mi estado de cuentas x favor"," ","hola bueno dias me podrian embiar mi estar de contar x favor"
"Wendy Garcia mira"," ","wendy garcia mirar"
"Patricia Beltran , pregunta por aquí "," ","patricio beltran , preguntar por aquí"
"Gracias <U+0001F64F>.  "," ","gracia <U+0001F64F> ."
"Hola cómo puedo saber si estoy afiliada a esta AFP ???"," ","hola cómo poder saber si estar afiliado a este afp ? ? ?"
"Buenoa dias.. como puedo hacer para hacer el tramite desde casa"," ","buenoa dias . . comer poder hacer parar hacer el tramitar desde casar"
"Quiero ingresar para reportarme por sobrevivencia"," ","querer ingresar parar reportarme por sobrevivencia"
"www.crecer.gob.sv"," ","www.crecer.gob.sv"
"Quiero ingresar"," ","querer ingresar"
"Como puedo hacer para obtener cita para la bonificación del año"," ","comer poder hacer parar obtener citar parar el bonificación del año"
"si no tengo correo registrado con ustedes , como puede hacer? tengo que ir a la agencia para actualizar mis datos o como ?"," ","si no tener correar registrar con vosotros , comer poder hacer ? tener que ir a el agenciar parar actualizar mi dato o comer ?"
"Fecha de pago de pensión de mes de enero?"," ","fechar de pagar de pensión de mes de enero ?"
"Mi esposo está queriendo sacar sita y no puede ya llamo y ya puso mensaje en el WhatsApp y nada"," ","mi esposar estar querer sacar sito y no poder ya llamar y ya poner mensaje en el whatsapp y nadar"
"Me podrían responder en q bancos depositan los anticipos porfavor??"," ","me poder responder en q banco depositar el anticipo porfavor ? ?"
"AFP Crecer mil gracias"," ","afp crecer mil gracia"
"Buenos dias señores de AFP Crecer, les escribo para comunicarles que hace 5 dias yo ingrese a la web de la afp de anticipo de saldo, porque este año yo cubria los requisitos, y en la web me lo confirmaron, e ingrese mi dui y la constancia de mi cuenta del banco y cuando termino de hacer el proceso, me saca de la web, lo hice dos veces por si habia error y me paso lo mismo y espere respuesta en mi inbox que es alfrezel@outlook.es y no he recibido ninguna respuesta, escribi al wathsap y tampoco, mi NUP es el 254872870001, les agradeceria bastante si me pueden ayudar, muchas gracias"," ","bueno dias señor de afp crecer , les escribir parar comunicarles que hacer 5 dias yo ingresar a el web de el afp de anticipar de saldar , porque este año yo cubria el requerir , y en el web me el confirmar , e ingresar mi dui y el constancia de mi contar del banco y cuando terminar de hacer el procesar , me sacar de el web , el hacer do vez por si habia error y me pasar el mismo y esperar respuesta en mi inbox que ser alfrezel @outlook . ser y no haber recibir ninguno respuesta , escribi al wathsap y tampoco , mi nup ser el 254872870001 , les agradeceria bastante si me poder ayudar , mucho gracia"
"Cumplo 49 el ptoximo 9 de febrero podria aplicar a diferencia que aun me falta un año para los 50"," ","cumplir 49 el ptoximo 9 de febrero podria aplicar a diferenciar que aun me faltar uno año parar el 50"
"Señores de AFP ustedes están jugando con uno el año pasado fui a que me dieran información sobre el 25 <U+0001F4AF> la respuesta que me dieron fue que a partir del 2021 todos los de 48 años en adelante ivamos a plicarar para ese 25 <U+0001F4AF> oy vienen con hotra política o mentiras si ese dinero es nuestro dinero no se les está pidiendo dinero de la bolsa de ustedes ni regalado "," ","señor de afp vosotros estar jugar con unir el año pasar ir a que me dar información sobrar el 25 <U+0001F4AF> el respuesta que me dar ir que a partir del 2021 todo el de 48 año en adelantar ivamos a plicarar parar ese 25 <U+0001F4AF> oy venir con hotra político o mentira si ese dinero ser nuestro dinero no se les estar pedir dinero de el bolsa de vosotros ni regalar"
"Trabajan los sábados kiero saber"," ","trabajar el sábado kiero saber"
"Si uno adquiere este beneficio le afectara para la juvilacion?"," ","si unir adquirir este beneficiar le afectar parar el juvilacion ?"
"Keny Garcia , si amiga , pues cuando le hagan los cálculos le descontarán el anticipo que le han otorgado , y en base al saldo que usted tenga lo van a dividir entre veinte años .Pero esto es solo para los que cumplen el tiempo que la ley dice para pensión , pero si su tiempo no reúne los requisitos lo que harán es darle devolución de sus ahorros, le pondré un ejemplo :Si usted tiene $20,000 dólares y pide un anticipo de $5,000 solo le entregarán $ 15, 000 dólares , esto es en caso de devolución."," ","keny garcia , si amigar , pues cuando le hacer el cálculo le descontar el anticipar que le haber otorgar , y en basar al saldar que tú tener el ir a dividir entrar veinte año . pero este ser solo parar el que cumplir el tiempo que el ley decir parar pensión , pero si su tiempo no reunir el requerir el que hacer ser darle devolución de su ahorro , le poner uno ejemplo : si tú tener $ 20,000 dólar y pedir uno anticipar de $ 5,000 solo le entregar $ 15 , 000 dólar , este ser en casar de devolución ."
"Oscar Roberto Romero Barrientos gracias por su informacion"," ","oscar roberto romero barrientos gracia por su informacion"
"Keny Garcia , de nada amiga, "," ","keny garcia , de nadar amigar ,"
"Keny Garcia si porque baja el monto de tus ahorros, ya que la ley de este momento dice que no tienes que devolver el ahorro del 25 % que retires. "," ","keny garcia si porque bajar el montar de tu ahorro , ya que el ley de este momento decir que no tener que devolver el ahorrar del 25 % que retirar ."
"Lupita Campos gracias y si yo tengo $23,000 a la hora dd juvilarme eso lo dividen entre 20?"," ","lupita campo gracia y si yo tener $ 23,000 a el hora dd juvilarme ese el dividir entrar 20 ?"
"Digo 20 años"," ","decir 20 año"
"AFP Crecer ok gracias"," ","afp crecer ok gracia"
"Hola merobaron la tarjeta y quiero saber como puedo recuperarla puedo solo ir por que ya yame y  no mecontestan solo me ponen una operadora"," ","hola merobaron el tarjeta y querer saber comer poder recuperarla poder solo ir por que ya yame y no mecontestan solo me poner unir operador"
"Atienden en oficinas sin previa cita??"," ","atender en oficina sin previo citar ? ?"
"Leticia Ramirez no"," ","leticia ramirez no"
"Hola se puede hacer presente en oficin"," ","hola se poder hacer presentar en oficin"
"Gracias haré la cita"," ","gracia hacer el citar"
