"X.U.FEFF.Comment","text_tokens","V3"
"AFP Crecer como puedo pedir cita para ir a poner de beneficiario a mi hijo"," ","afp crecer comer poder pedir citar parar ir a poner de beneficiario a mi hijo"
"Nuria Miranda Hola, para actualizar tus datos puedes llamar al 2211-9393, escribir al whatsapp 6161-2222, enviar un mensaje inbox en Facebook o Twitter, ingresar a tu usuario Crecer en https://enlinea.crecer.com.sv/ o escribir al correo atencion@crecer.com.sv y con mucho gusto te ayudaremos. Saludos."," ","nuria miranda hola , parar actualizar tu dato poder llamar al 2211-9393 , escribir al whatsapp 6161-2222 , enviar uno mensaje inbox en facebook o twitter , ingresar a tu usuario crecer en https://enlinea.crecer.com.sv/ o escribir al correar atencion @crecer . com.sv y con mucho gustar te ayudar . saludo ."
"No tengo correo.pueden mandarme mi estado de cuenta directo a mi facebook?"," ","no tener correo.pueden mandarme mi estar de contar directo a mi facebook ?"
"Charly Brawn Hola, te comentamos que por políticas de seguridad sólo enviamos estados de cuenta a correos electrónicos.Saludos."," ","charly brawn hola , te comentar que por política de seguridad sólo enviar estado de contar a correo electrónicos.saludos ."
"AFP Crecer diganme si aplico al anticipo del 25%."," ","afp crecer diganme si aplicar al anticipar del 25 % ."
"AFP Crecer solo diganme q documentos les envió.para que me puedan decir si aplico."," ","afp crecer solo diganme q documento les envió.para que me poder decir si aplicar ."
"Buen dia"," ","bueno dia"
"Charly Brawn Hola, te compartimos los requisitos para solicitar el anticipo de saldo:"," ","charly brawn hola , te compartir el requerir parar solicitar el anticipar de saldar :"
"AFP Crecer quiero sabet si aplico o no"," ","afp crecer querer sabet si aplicar o no"
"Esa es la pregunta"," ","ese ser el preguntar"
"Charly Brawn Hola, te compartimos los requisitos para solicitar el anticipo de saldo:Cumplir con la edad requerida por la Ley (50 años o más para hombres y 45 o más para mujeres) y contar con 10 años cotizados en el SAP.Puedes solicitar vía inbox tu estado de cuenta e historial laboral para conocer si reúnes los 10 años cotizados en el SAP. ¡Saludos!"," ","charly brawn hola , te compartir el requerir parar solicitar el anticipar de saldo:cumplir con el edad requerir por el ley ( 50 año o más parar hombre y 45 o más parar mujer ) y contar con 10 año cotizar en el sap.puedes solicitar vía inbox tu estar de contar e historial laboral parar conocer si reunir el 10 año cotizar en el sap . ¡ saludo !"
"No puedo ingresar <U+0001F614>"," ","no poder ingresar <U+0001F614>"
"Dani Arévalo Te hemos respondido vía inbox."," ","dani arévalo te haber responder vía inbox ."
"Gracias"," ","gracia"
"Buenas quisiera actualizar mis datos ... hace mucho q no lo hago"," ","bueno querer actualizar mi dato . . . hacer mucho q no el hacer"
"Henry Sosa Hola, para actualizar tus datos puedes llamar al 2211-9393, escribir al whatsapp 6161-2222, enviar un mensaje inbox en Facebook o Twitter, ingresar a tu usuario Crecer en https://enlinea.crecer.com.sv/ o escribir al correo atencion@crecer.com.sv y con mucho gusto te ayudaremos. Saludos."," ","henrio soso hola , parar actualizar tu dato poder llamar al 2211-9393 , escribir al whatsapp 6161-2222 , enviar uno mensaje inbox en facebook o twitter , ingresar a tu usuario crecer en https://enlinea.crecer.com.sv/ o escribir al correar atencion @crecer . com.sv y con mucho gustar te ayudar . saludo ."
"Quiero istorial de laboral mi cuenta"," ","querer istorial de laboral mi contar"
"Mario Moraleles Hola, ingresa a bit.ly/ExpressServicio  para poder descargar tu historial laboral.Saludos."," ","mario moraleles hola , ingresar a bit.ly / expressservicio parar poder descargar tu historial laboral.saludos ."
"Carla Lizama de Rodríguez "," ","carla lizama de rodríguez"
"Y para agendar cita para la inpep dicen que hay que ir a Afp crecer a sacarla"," ","y parar agendar citar parar el inpep decir que haber que ir a afp crecer a sacarla"
"Kry Petz Hola, puedes solicitar tu cita en INPEP por nuestros canales remotos:: Línea de atención 2211-9393, WhatsApp 6161-2222, sitio web http://crecer.com.sv, correo electrónico atencion@crecer.com.sv y mensajes inbox en redes sociales. Saludos."," ","kry petz hola , poder solicitar tu citar en inpep por nuestro canal remoto : : líneo de atención 2211-9393 , whatsapp 6161-2222 , sitiar web http://crecer.com.sv , correar electrónico atencion @crecer . com.sv y mensaje inbox en red social . saludo ."
"yo le pregunto si me toca firmar hoy en enero o en julio y no me contesta como puedo hacer por favor gracias"," ","yo le preguntar si me tocar firmar hoy en enero o en julio y no me contestar comer poder hacer por favor gracia"
"Mauricio Flores Hola, queremos cuidar de la salud de nuestros pensionados, por lo que hemos habilitado los siguientes canales para realizar la comprobación de sobrevivencia sin que se tenga que visitar una agencia: "," ","mauricio flor hola , querer cuidar de el salud de nuestro pensionado , por el que haber habilitar el siguiente canal parar realizar el comprobación de sobrevivencia sin que se tener que visitar unir agenciar :"
"AFP Crecer gracias muchas gracias bendiciones <U+0001F44D>"," ","afp crecer gracia mucho gracia bendición <U+0001F44D>"
"Mauricio Flores Estamos para ayudarte."," ","mauricio flor estar parar ayudarte ."
"Para cuando está programado el pagó de la pensión."," ","parar cuando estar programar el pagar de el pensión ."
"Marco Antonio Hola, te compartimos el calendarios de pago de pensiones 2021. Saludos."," ","marcar antonio hola , te compartir el calendario de pagar de pensión 2021 . saludo ."
"Necesito me ayude. Quiero modificar mi apellido "," ","necesitar me ayudar . querer modificar mi apellidar"
"Dunia Ardon Hola, para actualizar documentos (DUI, NIT, ISSS, matrícula INPEP) debes enviar imagen de ellos (ambos lados) vía whatsapp al 6161-2222 o al correo atencion@crecer.com.sv "," ","dunia ardon hola , parar actualizar documento ( dui , nit , isss , matrícula inpep ) debe enviar imagen de ellos ( ambos lado ) vía whatsapp al 6161-2222 o al correar atencion @crecer . com.sv"
"Hola buenas y hay aunmento de pension quisiera saber ???"," ","hola bueno y haber aunmento de pension querer saber ? ? ?"
"Karlita E Martinez Hola, te comentamos que por el momento no existe Ley que avale un aumento de pensión. En cuanto tengamos conocimiento de ella la haremos de conocimiento público.Saludos. "," ","karlita e martinez hola , te comentar que por el momento no existir ley que avalar uno aumentar de pensión . en cuanto tener conocimiento de él el hacer de conocimiento público.saludos ."
"Hace varios días estoy pidiendo el estado de cuenta y por gusto la misma computadora te contestas??o ya lo tienen programada para aburrir al cliente ...desgracia de servicio y atención al cliente deberían de poner personal al día capacitado para resolver consultas y dudas..saludos"," ","hacer vario día estar pedir el estar de contar y por gustar el mismo computador te contestar ? ? o ya el tener programar parar aburrir al cliente . . . desgraciar de servicio y atención al cliente deber de poner personal al día capacitar parar resolver consulta y duda . . saludo"
"Jose Darwin Gonzalez Gonzalez Te hemos respondido vía inbox."," ","jose darwin gonzalez gonzalez te haber responder vía inbox ."
"Ayuda señores por favor necesito informacion"," ","ayudar señor por favor necesitar informacion"
"Walter Larin Te hemos respondido vía inbox."," ","walter larin te haber responder vía inbox ."
"AFP Crecer gracias"," ","afp crecer gracia"
"Walter Larin Estamos para ayudarte."," ","walter larin estar parar ayudarte ."
"AFP Crecer ok"," ","afp crecer ok"
"Cuando le sale el día no sale la hora cómo se hace allí por eso no le aceptan a uno"," ","cuando le salar el día no salar el hora cómo se hacer allí por ese no le aceptar a unir"
"Dunia Ardon Hola, debe escoger un día con horarios disponibles.Saludos. "," ","dunia ardon hola , deber escoger uno día con horario disponibles.saludos ."
"Si lo pongo pero la hora no da"," ","si el poner pero el hora no dar"
"Dunia Ardon Hola, también puedes realizar tus consultas por nuestros canales remotos:: Línea de atención 2211-9393, WhatsApp 6161-2222, sitio web http://crecer.com.sv, correo electrónico atencion@crecer.com.sv y mensajes inbox en redes sociales. Saludos."," ","dunia ardon hola , también poder realizar tu consulta por nuestro canal remoto : : líneo de atención 2211-9393 , whatsapp 6161-2222 , sitiar web http://crecer.com.sv , correar electrónico atencion @crecer . com.sv y mensaje inbox en red social . saludo ."
"amigo Carlos Pacas"," ","amigar carlos paca"
"Yo nese sito ablar por teléfono con algún asesor.porque ustedes piden coreo actualizado.iyo no tengo coreo por qué seme perdió la contraseña."," ","yo nese sito ablar por teléfono con alguno asesor.porque vosotros pedir corear actualizado.iyo no tener corear por qué seme perder el contraseña ."
"Demauriciodejrsus Grande Hola, te comentamos que para enviar documentos es necesario que poseas un correo activo. Te invitamos a que crees otra cuenta para poder enviarte la información que necesitas.¡Saludos!"," ","demauriciodejrsus grande hola , te comentar que parar enviar documento ser necesario que poseer uno correar activar . te invitar a que crear otro contar parar poder enviarte el información que necesitar . ¡ saludo !"
"Disculpe yo ya saqué la cita y que pasos tengo que seguir y que documentos tengo que "," ","disculpar yo ya sacar el citar y que paso tener que seguir y que documento tener que"
"Carmen Escamilla Hola, gracias por ponerte en contacto con nosotros. ¿Qué trámite deseas realizar?"," ","carmen escamilla hola , gracia por ponerte en contactar con nosotros . ¿ qué trámite desear realizar ?"
"Retiro de saldo"," ","retirar de saldar"
"Carmen Escamilla Hola, consulta en https://bit.ly/BeneficioVejez Allí podrás verificar los documentos y pasos a seguir.Saludos."," ","carmen escamilla hola , consultar en https://bit.ly/beneficiovejez allí poder verificar el documento y paso a seguir.saludos ."
"AFP Crecer cuál bancose debe abrir la cuenta.para el anticipo"," ","afp crecer cuál bancose deber abrir el cuenta.para el anticipar"
"Demauriciodejrsus Grande Hola, puede ser Banco Agrícola o Banco Davivienda, también, el depósito se puede hacer mediante cheque.Saludos. "," ","demauriciodejrsus grande hola , poder ser banco agrícola o banco davivienda , también , el depósito se poder hacer mediante cheque.saludos ."
"Necesito una cita para mi mamá ,,mi padre falleció y nos dejó un estado de cuenta q el tenia para reclamar como hago"," ","necesitar unir citar parar mi mamá , , mi padre fallecer y no dejar uno estar de contar q el tenia parar reclamar comer hacer"
"Wendy Serrano Hola, para agendar cita debes ingresar a bit.ly/CitaEnAgencia y escoger agencia, día y hora de tu visita. También puedes consultar en https://bit.ly/PensionPorSobrevivencia Allí podrás verificar los documentos y pasos a seguir.Saludos. "," ","wendy serrano hola , parar agendar citar debe ingresar a bit.ly / citaenagencia y escoger agenciar , día y hora de tu visitar . también poder consultar en https://bit.ly/pensionporsobrevivencia allí poder verificar el documento y paso a seguir.saludos ."
"AFP Crecer pero quiero hablar personalmente para seguir el trámite"," ","afp crecer pero querer hablar personalmente parar seguir el trámite"
"Wendy Serrano Para visitar una agencia debe hacer cita ingresando a bit.ly/CitaEnAgencia  y seleccionar agencia, fecha y hora disponible.Saludos. "," ","wendy serrano parar visitar unir agenciar deber hacer citar ingresar a bit.ly / citaenagencia y seleccionar agenciar , fechar y hora disponible.saludos ."
"Cuando llamaran para registrar la voz para verificar la  sobrebivencia????"," ","cuando llamar parar registrar el voz parar verificar el sobrebivencia ? ? ? ?"
"Mario Valle Hola, nuestros ejecutivos se pondrán en contacto a la brevedad posible.Mientras tanto, puedes comprobar sobrevivencia por los siguientes medios:1) Contactar vía whatsapp al 6161-2222 o mensajes inbox de Facebook e indicar el trámite para que el ejecutivo le brinde los pasos a seguir y la información que se requiere. 2) Ingresar al sitio web www.crecer.com.sv y agendar una cita para videollamada. Usted recibirá un enlace para la fecha y hora seleccionada y un ejecutivo se contactará con usted para llevar a cabo el trámite. 3) Realizar un video con tus datos (nombre completo, DUI, fecha y tipo de pensión) y enviarlo al correo comprobacion@crecer.com.sv o vía whatsapp al 6161-2222. 4) Si estrictamente desea hacerlo en agencia, debe ingresar a https://bit.ly/CitaEnAgencia y agendar cita para su visita. Lo ideal es que los trámites se realicen desde casa para evitar exponerse ante la crisis. Para cualquier duda o consulta, estamos a tus órdenes. Saludos."," ","mario vallar hola , nuestro ejecutivo se poner en contactar a el brevedad posible.mientras tanto , poder comprobar sobrevivencia por el siguiente medio : 1 ) contactar vía whatsapp al 6161-2222 o mensaje inbox de facebook e indicar el trámite parar que el ejecutivo le brindar el paso a seguir y el información que se requerir . 2 ) ingresar al sitiar web www.crecer.com.sv y agendar unir citar parar videollamada . tú recibir uno enlazar parar el fechar y hora seleccionar y uno ejecutivo se contactar con tú parar llevar a cabo el trámite . 3 ) realizar uno video con tu dato ( nombrar completar , dui , fechar y tipo de pensión ) y enviarlo al correar comprobacion @crecer . com.sv o vía whatsapp al 6161-2222 . 4 ) si estrictamente desear hacerlo en agenciar , deber ingresar a https://bit.ly/citaenagencia y agendar citar parar su visitar . el ideal ser que el trámite se realizar desde casar parar evitar exponerse ante el crisis . parar cualquiera dudar o consultar , estar a tu orden . saludo ."
"Estoy tramitando mi pension ,ya asisti a la cita de afp crecer y al inpep teniendo ambos historiales laborales  , estoy solicitando cita para presentar la documentacio y seguir mi proceso pero no corresponden ,me dejan en visto nada mas ."," ","estar tramitar mi pension , ya asisti a el citar de afp crecer y al inpep tener ambos historial laboral , estar solicitar citar parar presentar el documentacio y seguir mi procesar pero no corresponder , me dejar en ver nadar mas ."
"Angel Coto Te hemos respondido vía inbox."," ","angel cotar te haber responder vía inbox ."
"Necesito visitarles para retirar mis ahorros de 17 años Y cancelar descuentos xq se van hacer los locos de aquí a 5 años más..."," ","necesitar visitarles parar retirar mi ahorro de 17 año y cancelar descuento xq se ir hacer el loco de aquí a 5 año más . . ."
"Wil Hz Hola, te comentamos que para hacer uso de tus ahorros para pensión debes cumplir con la edad establecida por la Ley (55 años para mujeres y 60 años para hombres). "," ","wil hz hola , te comentar que parar hacer usar de tu ahorro parar pensión debe cumplir con el edad establecer por el ley ( 55 año parar mujer y 60 año parar hombre ) ."
"Necesito un estado de cuenta del ultimo año osea de un año"," ","necesitar uno estar de contar del ultimar año osea de uno año"
"Oveida Montiel Te hemos respondido vía inbox."," ","oveida montiel te haber responder vía inbox ."
"AFP Crecer gracias "," ","afp crecer gracia"
"Oveida Montiel Estamos para ayudarte."," ","oveida montiel estar parar ayudarte ."
"una pregunta cómo se puede ir a dejar unas constancia de colegio"," ","unir preguntar cómo se poder ir a dejar unir constancia de colegiar"
"Elizabeth Huezo Hola,  puedes enviarla al correo electrónico atencion@crecer.com.sv o al correo comprobacion@crecer.com.sv Saludos. "," ","elizabeth huezo hola , poder enviarla al correar electrónico atencion @crecer . com.sv o al correar comprobacion @crecer . com.sv saludo ."
"qué requisitos se necesita para que no me vaya a bloquear mi cuenta sobrevivencia"," ","qué requerir se necesitar parar que no me ir a bloquear mi contar sobrevivencia"
"Elizabeth Huezo Te hemos respondido vía inbox."," ","elizabeth huezo te haber responder vía inbox ."
"AFP Crecer todos los años hay que presentar la constancia de estudios??Ya la presente una vez el año pasado "," ","afp crecer todo el año haber que presentar el constancia de estudio ? ? ya el presentar unir vez el año pasar"
"Bonilla Victoria Hola, se debe presentar cada semestre.Saludos. "," ","bonilla victoria hola , se deber presentar cada semestre.saludos ."
"Buenas tardes, yo hice  mi trámite de sobrevivencia a través de reconocimiento de voz, el asesor me dijo que se había hecho  bien y me dijo que me enviarían por correo la confirmación, pero ya pasó una semana y no he recibido el correo"," ","bueno tardar , yo hacer mi trámite de sobrevivencia a través de reconocimiento de voz , el asesor me decir que se haber hacer bien y me decir que me enviar por correar el confirmación , pero ya pasar unir semana y no haber recibir el correar"
"Ana Acevedo Te hemos respondido vía inbox."," ","ana acevedo te haber responder vía inbox ."
"AFP Crecer gracias"," ","afp crecer gracia"
"Ana Acevedo Estamos para ayudarte."," ","ana acevedo estar parar ayudarte ."
"Bit/y/cita en crecer Metrocentro  martes 19 alas 2 ,p,m"," ","bit / y / citar en crecer metrocentro martes 19 ala 2 , página , metro"
"Jose Lara Hola, para agendar cita debes ingresar a bit.ly/CitaEnAgencia y escoger agencia, día y hora de tu visita. Saludos."," ","jose lara hola , parar agendar citar debe ingresar a bit.ly / citaenagencia y escoger agenciar , día y hora de tu visitar . saludo ."
"Yo quiciara  saber mi estado de cuenta como ago"," ","yo quiciara saber mi estar de contar comer ago"
"Alva Machado Te hemos respondido vía inbox."," ","alva machar te haber responder vía inbox ."
"AFP Crecer ok gracias"," ","afp crecer ok gracia"
"Alva Machado Estamos para ayudarte."," ","alva machar estar parar ayudarte ."
"Quiero una cita "," ","querer unir citar"
"Bambino Arlequin Hola, para agendar cita debes ingresar a bit.ly/CitaEnAgencia y escoger agencia, día y hora de tu visita. Saludos."," ","bambino arlequin hola , parar agendar citar debe ingresar a bit.ly / citaenagencia y escoger agenciar , día y hora de tu visitar . saludo ."
"Yo necesito que me respondan cuánto tiempo debo esperar después de haber ingresado la solicitud de anticipo de pensión, la ingresé el 07 de enero y ese mismo día me dijeron que calificaba y que estaba aprobado, entonces cuando me responderán?"," ","yo necesitar que me responder cuánto tiempo deber esperar después de haber ingresar el solicitud de anticipar de pensión , el ingresar el 07 de enero y ese mismo día me decir que calificar y que estar aprobar , entonces cuando me responder ?"
"Willian Sanchez Hola, el plazo máximo de desembolso es de 1 mes, tal como lo establece el BCR.Saludos. "," ","willian sanchez hola , el plazo máximo de desembolsar ser de 1 mes , tal comer el establecer el bcr.saludos ."
"Gracias por responder"," ","gracia por responder"
"Willian Sanchez Estamos para ayudarte."," ","willian sanchez estar parar ayudarte ."
"Número de teléfono pongan avemos muchas personas que no sabemos mucho de inter"," ","número de teléfono poner avemos mucho persona que no saber mucho de inter"
"Reyna Palacio Hola, puedes comunicarte al tel: 2211-9393 y con mucho gusto un ejecutivo de nuestro equipo te ayudará en tu consulta. ¡Saludos!"," ","reyna palacio hola , poder comunicarte al tel : 2211-9393 y con mucho gustar uno ejecutivo de nuestro equipar te ayudar en tu consultar . ¡ saludo !"
"Hola meyamo Manuel de Jesús Calzadilla necesito una cita"," ","hola meyamo manuel de jesús calzadilla necesitar unir citar"
"Manuel Herrera Hola, para agendar cita debes ingresar a bit.ly/CitaEnAgencia y escoger agencia, día y hora de tu visita. Saludos."," ","manuel herrero hola , parar agendar citar debe ingresar a bit.ly / citaenagencia y escoger agenciar , día y hora de tu visitar . saludo ."
"Yo vivo en mejicamos cual agencia meqdaria más Serca imegustaria viernes 27 de enero alas 3pm 2021 gracias "," ","yo vivir en mejicamos cual agenciar meqdaria más serca imegustaria viernes 27 de enero ala 3pm 2021 gracia"
"Manuel Herrera Hola, te comentamos que nuestras agencias están ubicadas en: SANTA ANA Avenida José Matías Delgado, No 1, entre Calle Libertad Poniente y Callejón Guillén, ciudad y departamento de Santa Ana Tel. 2479-0115 SONSONATE Centro Comercial Metrocentro Sonsonate, local 28 E1, Sonsonate Tel 2427-0100 SAN SALVADOR Boulevard de Los Héroes, Metrocentro, San Salvador. Tel. 2210-2990 Alameda Manuel Enrique Araujo No. 1100 Tel. 2210-2121 Centro Comercial Plaza Mundo, Nivel I, Locales 8 y 9, Km. 4½, Boulevard del Ejército Nacional, Soyapango, San Salvador. Tel. 2275-0280 SAN MIGUEL Avenida Roosevelt Norte, entre 8ª. y 10ª. Calle Poniente, San Miguel. Tel. 2679-0100Tú debes ingresar a bit.ly/CitaEnAgencia y seleccionar agencia, fecha y hora disponible."," ","manuel herrero hola , te comentar que nuestro agencia estar ubicar en : santo ana avenir josé matías delgado , no 1 , entrar callar libertar poniente y callejón guillén , ciudad y departamento de santo ana tel . 2479-0115 sonsonate centrar comercial metrocentro sonsonate , local 28 e1 , sonsonate tel 2427-0100 santo salvador boulevard de el héroe , metrocentro , santo salvador . tel . 2210-2990 alameda manuel enrique araujo no . 1100 tel . 2210-2121 centrar comercial plaza mundo , nivel i , local 8 y 9 , kilómetro . 4 ½ , boulevard del ejército nacional , soyapango , santo salvador . tel . 2275-0280 santo miguel avenir roosevelt norte , entrar 8ª . y 10ª . callar poniente , santo miguel . tel . 2679-0100tú debe ingresar a bit.ly / citaenagencia y seleccionar agenciar , fechar y hora disponible ."
" Salvador del mundo estaría vien"," ","salvador del mundo estar vien"
"San salvador"," ","santo salvador"
"Manuel Herrera ingresa a bit.ly/CitaEnAgencia y selecciona agencia, fecha y hora disponible para agendar tu cita.¡Saludos!"," ","manuel herrero ingresar a bit.ly / citaenagencia y seleccionar agenciar , fechar y hora disponible parar agendar tu citar . ¡ saludo !"
